n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_intraday_only,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
181,162026.0,389597.0,227571.0,1.7119799974513448,0.287292817679558,895.171270718232,7492.25,-1764.1162790697674,20067.0,15831.0,0.20067,10,7,0.7,18.1,14.889257872708095,0.8226109321938173,5,0.0466344907607421,8.074251258284747,22.416939256662513,7.919620247637965,2012-01-10 22:30:00,2021-05-17 16:00:00,TF_U,5,0,4,139,37,115,22,3,-1,1750,7500,0,216,32421.0,337095.0,304674.0,1.1064120994899467,0.20833333333333334,150.09722222222223,7491.0,-1781.719298245614,49392.0,44281.0,0.49392,5,3,0.6,43.2,12.812493902437573,0.2965855070008697,24,0.23105394651614694,0.6564018464528668,329.0667160173961,0.8464158667086169,False,False,False
202,157737.0,375194.0,217457.0,1.72537099288595,0.46534653465346537,780.8762376237623,3991.425531914894,-2013.4907407407406,15346.0,12286.0,0.15346,10,9,0.9,20.2,10.934349546269317,0.5413044329836296,6,0.02555519630777814,10.278704548416526,19.652281963014385,7.899944811039574,2012-01-10 10:30:00,2021-04-29 18:00:00,TF_U,5,0,28,77,52,15,21,16,-1,2000,4000,0,226,37966.0,327262.0,289296.0,1.131235827664399,0.36283185840707965,167.99115044247787,3991.0,-2009.0,35105.0,32468.0,0.35105,5,4,0.8,45.2,14.386104406683554,0.31827664616556534,22,0.10512037085813623,1.0814983620566871,208.96934098930623,1.1236766661197843,False,False,False
191,156031.0,279748.0,123717.0,2.2611928837589015,0.14659685863874344,816.9162303664922,9991.0,-759.0,17002.0,12144.0,0.17002,10,10,1.0,19.1,10.90366910723175,0.5708727281273167,7,0.06403214745787696,9.17721444535937,20.812415481538924,7.851759084945171,2012-01-10 10:30:00,2021-04-23 22:00:00,TF_U,5,0,28,77,52,15,21,16,-1,750,10000,0,209,45619.0,189829.0,144210.0,1.3163372859025033,0.09090909090909091,218.27272727272728,9991.0,-759.0,36164.0,27959.0,0.36164,5,4,0.8,41.8,15.157836257197134,0.36262766165543386,20,0.21900962318332273,1.2614478486893044,165.68263223656808,1.4384696114707098,False,False,False
194,176159.0,419561.0,243402.0,1.723736863296111,0.28865979381443296,908.0360824742268,7492.160714285715,-1763.7826086956522,21207.0,16225.0,0.21207,10,8,0.8,19.4,17.6022725805505,0.9073336381727063,5,0.04289306819407467,8.306644032630736,23.354798789729735,7.8145313021458955,2012-01-10 22:30:00,2021-05-17 16:00:00,TF_U,6,0,152,139,37,115,22,3,-1,1750,7500,0,247,33392.0,382041.0,348649.0,1.0957754073581165,0.20647773279352227,135.1902834008097,7491.0,-1778.8214285714287,55973.0,50862.0,0.55973,5,3,0.6,49.4,14.987995196156158,0.3034007124727967,29,0.2243351701006229,0.5965733478641488,414.03123502635367,0.7161362094404033,False,False,False
236,219066.0,440792.0,221726.0,1.988003211170544,0.4745762711864407,928.2457627118644,3935.6428571428573,-1788.1129032258063,22661.0,21465.0,0.22661,10,9,0.9,23.6,5.782732917920384,0.24503105584408408,16,0.11891849944765505,9.66709324389921,24.412715802543527,7.727924794151194,2012-01-10 22:30:00,2021-05-17 22:30:00,TF_U,5,0,4,139,37,115,22,3,-1,2000,0,460,161,53786.0,324818.0,271032.0,1.1984488916437912,0.17391304347826086,334.0745341614907,11600.642857142857,-2037.8345864661653,45969.0,41826.0,0.45969,5,4,0.8,32.2,9.53729521405309,0.29618929236189717,20,0.6579965046666418,1.1700493811046575,137.6010300078087,1.9527663841550946,False,False,False
186,173311.0,459040.0,285729.0,1.6065572623009916,0.6182795698924731,931.7795698924731,3991.6521739130435,-4024.3521126760565,23110.0,17176.0,0.2311,10,9,0.9,18.6,15.107613974417006,0.8122373104525271,5,0.02325876603331583,7.49939420164431,24.802003335045093,7.681617148681764,2012-01-10 10:30:00,2021-05-14 21:00:00,TF_U,5,0,28,78,37,7,21,15,-1,4000,4000,0,242,85842.0,528222.0,442380.0,1.1940458429404583,0.5454545454545454,354.7190082644628,4001.681818181818,-4021.6363636363635,32599.0,28514.0,0.32599,5,4,0.8,48.4,15.91979899370592,0.32892146681210577,29,0.06099578295007106,2.6332709592318784,91.90091097597913,2.462191170391437,False,False,False
168,139723.0,300925.0,161202.0,1.8667572362625773,0.23809523809523808,831.6845238095239,7523.125,-1259.390625,18769.0,17689.0,0.18769,10,9,0.9,16.8,11.417530380953666,0.6796149036281944,5,0.06280998833406096,7.444349725611381,22.56745131438632,7.608122557282333,2012-01-10 10:30:00,2021-04-26 10:30:00,TF_U,5,0,28,77,52,15,21,16,-1,1250,7500,0,202,43182.0,254694.0,211512.0,1.2041586292976285,0.16831683168316833,213.77227722772278,7491.0,-1259.0,46472.0,39407.0,0.46472,5,3,0.6,40.4,13.763720427268202,0.340686149189807,20,0.17347505905238295,0.9292046823893958,217.390208883331,1.242782556309729,False,False,False
201,169231.0,373700.0,204469.0,1.8276609168137958,0.746268656716418,841.9452736318408,2491.3333333333335,-4009.1960784313724,19559.0,18099.0,0.19559,10,10,1.0,20.1,12.340583454602138,0.6139593758508526,7,0.01501497952502792,8.652333963904086,23.230726049009935,7.544839176992045,2012-01-10 10:30:00,2021-05-04 02:30:00,TF_U,5,0,28,77,52,15,21,16,-1,4000,2500,0,223,51633.0,364335.0,312702.0,1.165118867164265,0.6502242152466368,231.53811659192826,2512.655172413793,-4009.0,30244.0,26234.0,0.30244,5,4,0.8,44.6,14.291256067959877,0.3204317504026878,22,0.10140801425444967,1.707214654146277,130.6221215114365,1.668561922639439,False,False,False
178,144683.0,285943.0,141260.0,2.0242319127849355,0.21348314606741572,812.8258426966293,7524.815789473684,-1009.0,18814.0,17734.0,0.18814,10,9,0.9,17.8,11.96494880891682,0.6721881353324055,5,0.060656746127741336,7.6901775273732325,23.14640973714949,7.426708534317298,2012-01-10 10:30:00,2021-04-23 22:30:00,TF_U,5,0,28,77,52,15,21,16,-1,1000,7500,0,210,34470.0,217239.0,182769.0,1.1885987229781856,0.1380952380952381,164.14285714285714,7491.0,-1009.7734806629834,44206.0,37198.0,0.44206,5,4,0.8,42.0,14.212670403551895,0.33839691437028324,20,0.217319408181027,0.7797584038365832,269.3141862489121,0.9784098719241038,False,False,False
222,170172.0,447032.0,276860.0,1.6146500036119338,0.5045045045045045,766.5405405405405,3991.3571428571427,-2516.909090909091,16785.0,15626.0,0.16785,10,9,0.9,22.2,17.758378304338493,0.799926950645878,6,0.023687798227675527,10.138337801608579,21.897080600803893,7.415046909080581,2012-01-10 10:30:00,2021-05-14 21:00:00,TF_U,5,0,28,78,37,7,21,15,-1,2500,4000,0,265,56780.0,443166.0,386386.0,1.1469514941017531,0.4188679245283019,214.26415094339623,3992.4864864864867,-2509.0,29533.0,25558.0,0.29533,5,3,0.6,53.0,16.70927885936434,0.31526941244083656,30,0.07319478689679465,1.9225950631496969,137.83453680873546,1.5625545165195671,False,False,False
231,214296.0,436554.0,222258.0,1.964176767540426,0.4935064935064935,927.6883116883117,3829.4210526315787,-1899.6410256410256,24934.0,23980.0,0.24934,10,10,1.0,23.1,5.838664230798,0.2527560273072727,15,0.12156549818942024,8.594529558033207,26.8775618770299,7.362843240789989,2012-01-10 22:30:00,2021-05-17 22:30:00,TF_U,5,0,4,139,37,115,22,3,-1,2250,0,460,155,53380.0,341904.0,288524.0,1.1850106057035117,0.1870967741935484,344.38709677419354,11789.793103448275,-2289.873015873016,49891.0,46856.0,0.49891,5,4,0.8,31.0,8.921883209278185,0.28780268417026406,19,0.6630011240164856,1.0699324527469884,144.86895841139003,1.932302936260017,False,False,False
322,226612.0,492529.0,265917.0,1.8521907211648747,0.6335403726708074,703.7639751552795,2414.357843137255,-2253.5338983050847,14403.0,12954.0,0.14403,10,10,1.0,32.2,13.113351974228404,0.407246955721379,22,0.017788113603869168,15.733666597236686,20.46566819056361,7.349198854699733,2012-01-10 10:30:00,2021-05-14 20:30:00,TF_U,5,0,28,78,37,7,21,15,-1,3000,3000,460,269,50594.0,429958.0,379364.0,1.1333653166879303,0.5315985130111525,188.0817843866171,3006.6993006993007,-3010.8253968253966,26982.0,24554.0,0.26982,5,4,0.8,53.8,16.678129391511508,0.3100024050466823,31,0.10349053247420643,1.875101919798384,143.45886864055026,1.4349907923494616,False,False,False
260,187000.0,426482.0,239482.0,1.7808520055787074,0.6038461538461538,719.2307692307693,2716.4458598726114,-2325.0679611650485,15142.0,12774.0,0.15142,10,10,1.0,26.0,6.928203230275509,0.2664693550105965,17,0.021556149732620322,12.349755646546031,21.053048128342244,7.32514261714453,2012-01-10 10:30:00,2021-05-03 17:30:00,TF_U,5,0,28,77,52,15,21,16,-1,3000,4000,460,216,42831.0,394884.0,352053.0,1.1216606590484954,0.4583333333333333,198.29166666666666,3988.7272727272725,-3009.0,59156.0,57360.0,0.59156,5,4,0.8,43.2,14.74313399518569,0.34127624988855765,22,0.12224790455511195,0.724034755561566,298.32822021433077,1.021749678975347,False,False,False
212,180782.0,466987.0,286205.0,1.6316521374539228,0.5518867924528302,852.7452830188679,3991.3418803418804,-3012.684210526316,21713.0,16153.0,0.21713,10,9,0.9,21.2,16.166632302368974,0.762576995394763,6,0.022297573873505106,8.32597982775296,25.462468608600414,7.252685685748126,2012-01-10 10:30:00,2021-05-14 21:00:00,TF_U,5,0,28,78,37,7,21,15,-1,3000,4000,0,256,56876.0,472348.0,415472.0,1.136894905071822,0.4609375,222.171875,4002.9491525423728,-3010.6666666666665,34281.0,32308.0,0.34281,5,4,0.8,51.2,16.65412861725284,0.32527594955571953,30,0.09205991982558548,1.6591114611592428,154.29945847105984,1.5038405329321214,False,False,False
188,171293.0,395912.0,224619.0,1.7625935472956429,0.7021276595744681,911.1329787234042,2999.3333333333335,-4011.0535714285716,24856.0,21126.0,0.24856,10,9,0.9,18.8,12.21310771261762,0.6496333889690223,6,0.02353277717127962,6.891414547795301,27.280320853741834,7.2427849951543095,2012-01-10 10:30:00,2021-05-04 02:30:00,TF_U,5,0,28,77,52,15,21,16,-1,4000,3000,0,216,32301.0,385093.0,352792.0,1.0915581985986076,0.5925925925925926,149.54166666666666,3008.5390625,-4009.0,29057.0,25387.0,0.29057,5,3,0.6,43.2,13.362634470792052,0.3093202423794456,22,0.1621002445744714,1.1116426334446088,194.3070493173586,1.0994520082838215,False,False,False
214,157789.0,371203.0,213414.0,1.739356368373209,0.43457943925233644,737.3317757009346,3991.430107526882,-1763.7520661157025,16358.0,12313.0,0.16358,10,9,0.9,21.4,10.584894897919392,0.49462125691212117,8,0.025546774489983458,9.645983616579043,22.185399489191262,7.224990751615472,2012-01-10 10:30:00,2021-04-26 13:30:00,TF_U,5,0,28,77,52,15,21,16,-1,1750,4000,0,227,37707.0,303316.0,265609.0,1.141964315968209,0.33480176211453744,166.11013215859032,3991.0,-1759.0,32209.0,29164.0,0.32209,5,4,0.8,45.4,14.263239463740346,0.31416827012643933,22,0.10584241652743523,1.1706976310968984,193.90147717930355,1.1599705147319828,False,False,False
229,187779.0,427792.0,240013.0,1.7823701216184122,0.4890829694323144,819.9956331877729,3819.5714285714284,-2051.3931623931626,21354.0,19125.0,0.21354,10,9,0.9,22.9,5.717516943569122,0.24967322897681757,15,0.1387322331038082,8.793621803877494,26.041602096081032,7.032526338546122,2012-01-10 22:30:00,2021-05-17 22:30:00,TF_U,5,0,4,139,37,115,22,3,-1,2500,0,460,152,35792.0,344570.0,308778.0,1.115914993943869,0.19736842105263158,235.47368421052633,11485.666666666666,-2530.967213114754,61930.0,58420.0,0.6193,5,4,0.8,30.4,8.357032966310472,0.27490240020758133,19,0.9887963790791239,0.5779428386888422,263.00178810907465,1.1858541718634288,False,False,False
234,162489.0,378143.0,215654.0,1.7534708375453272,0.2692307692307692,694.3974358974359,6002.269841269841,-1261.1345029239767,15725.0,12894.0,0.15725,10,9,0.9,23.4,18.067650649710934,0.7721218226372195,8,0.041024315492125624,10.333163751987282,22.645532928382845,6.939884273922355,2012-01-10 22:30:00,2021-05-17 13:30:00,TF_U,5,0,4,139,37,115,22,3,-1,1250,6000,0,251,41951.0,299590.0,257639.0,1.1628286090227022,0.199203187250996,167.13545816733068,5991.8,-1281.7860696517414,33848.0,27268.0,0.33848,5,4,0.8,50.2,11.754148203932091,0.23414637856438428,36,0.1437629615503802,1.239393760340345,202.5183666658721,1.1385222884066433,False,False,False
176,142416.0,359280.0,216864.0,1.656706507304117,0.45454545454545453,809.1818181818181,4491.0,-2259.0,21528.0,15921.0,0.21528,10,8,0.8,17.6,11.385956261992225,0.64692933306774,5,0.03153437815975733,6.615384615384615,26.6046511627907,6.911681554884918,2012-01-10 10:30:00,2021-04-29 18:00:00,TF_U,5,0,28,77,52,15,21,16,-1,2250,4500,0,221,20056.0,345807.0,325751.0,1.0615684986385308,0.34841628959276016,90.75113122171946,4491.0,-2262.159722222222,59355.0,56718.0,0.59355,5,4,0.8,44.2,13.760813929415658,0.31133063188723203,22,0.22392301555644195,0.3378990817959734,654.0414339848425,0.46683438798945703,False,False,False
249,184709.0,427055.0,242346.0,1.762170615566174,0.642570281124498,741.8032128514056,2669.09375,-2722.9887640449438,18142.0,14732.0,0.18142,10,10,1.0,24.9,6.609841147864297,0.26545546778571477,16,0.02182351699159218,10.181292029544704,24.456620955124006,6.902168791026505,2012-01-10 10:30:00,2021-05-04 02:30:00,TF_U,5,0,28,77,52,15,21,16,-1,4000,4000,460,204,69079.0,442776.0,373697.0,1.1848529691166907,0.5441176470588235,338.62254901960785,3988.972972972973,-4018.2473118279568,42336.0,40486.0,0.42336,5,3,0.6,40.8,13.6,0.33333333333333337,21,0.07579727558302812,1.6316846182917613,125.02416074349658,2.0625306465007394,False,False,False
302,187817.0,466629.0,278812.0,1.6736331291336097,0.5264900662251656,621.9105960264901,2934.7735849056603,-1949.7342657342658,12838.0,11389.0,0.12838,10,10,1.0,30.2,11.617228585166085,0.38467644321742006,22,0.023911573499736445,14.629770992366412,20.64283850769632,6.878895589802831,2012-01-10 10:30:00,2021-05-19 09:00:00,TF_U,5,0,28,78,37,7,21,15,-1,2250,4500,460,263,40383.0,422154.0,381771.0,1.1057780711473633,0.3574144486692015,153.54752851711027,4491.0,-2259.0,50067.0,47682.0,0.50067,5,3,0.6,52.6,16.620469307453384,0.3159785039439807,30,0.11121016269222198,0.8065791838935826,326.0684198796523,0.8600159241694115,False,False,False
223,147528.0,351248.0,203720.0,1.7241704300019636,0.39461883408071746,661.5605381165919,3991.4545454545455,-1509.037037037037,14608.0,10563.0,0.14608,10,10,1.0,22.3,11.126994203287786,0.4989683499232191,8,0.027323626701371943,10.099123767798467,22.081123583319776,6.859834825406456,2012-01-10 10:30:00,2021-04-26 11:00:00,TF_U,5,0,28,77,52,15,21,16,-1,1500,4000,0,229,50439.0,287352.0,236913.0,1.2129009383191298,0.314410480349345,220.25764192139738,3991.0,-1509.0,23009.0,20689.0,0.23009,5,4,0.8,45.8,14.647866738880444,0.3198224178794857,22,0.07912528004123794,2.1921422052240427,104.46402585301057,1.819791198802336,False,True,False
252,208782.0,482996.0,274214.0,1.7613834450465695,0.6388888888888888,828.5,2999.9751552795033,-3013.3406593406594,22924.0,18253.0,0.22924,10,8,0.8,25.2,17.71327186038762,0.7029076135074454,6,0.019307219971070304,9.10757284941546,27.669281834640916,6.857830706403014,2012-01-10 10:30:00,2021-05-14 20:30:00,TF_U,5,0,28,78,37,7,21,15,-1,3000,3000,0,269,50594.0,429958.0,379364.0,1.1333653166879303,0.5315985130111525,188.0817843866171,3006.6993006993007,-3010.8253968253966,26982.0,24554.0,0.26982,5,4,0.8,53.8,16.678129391511508,0.3100024050466823,31,0.10349053247420643,1.875101919798384,143.45886864055026,1.4349907923494616,False,False,False
163,138683.0,367709.0,229026.0,1.605533869516998,0.3006134969325153,850.8159509202454,7504.265306122449,-2009.0,24353.0,19171.0,0.24353,10,8,0.8,16.3,12.9,0.7914110429447853,5,0.05870222017118176,5.69469880507535,28.623111700785245,6.832801999834371,2012-01-10 10:30:00,2021-05-19 09:00:00,TF_U,5,0,28,78,37,7,21,15,-1,2000,7500,0,232,46732.0,404514.0,357782.0,1.1306158498750636,0.23275862068965517,201.43103448275863,7491.0,-2010.0112359550562,45190.0,40693.0,0.4519,5,4,0.8,46.4,14.361058456812994,0.30950557018993524,28,0.16029701275357358,1.0341225934941358,224.34477445861506,1.1875301904133104,False,False,False
178,151398.0,335501.0,184103.0,1.8223548774327414,0.3146067415730337,850.5505617977528,5991.089285714285,-1509.0409836065573,25284.0,24239.0,0.25284,10,8,0.8,17.8,11.77115117564973,0.6613006278454904,5,0.039604221984438366,5.9878974845752255,29.726627828637103,6.703732741866701,2012-01-10 10:30:00,2021-04-26 11:00:00,TF_U,5,0,28,77,52,15,21,16,-1,1500,6000,0,219,52029.0,305541.0,253512.0,1.2052328883839818,0.2328767123287671,237.57534246575344,5991.0,-1509.0,33105.0,30360.0,0.33105,5,4,0.8,43.8,14.427751037497147,0.32940070861865633,22,0.11514732168598282,1.571635704576348,139.34526898460473,1.6364171217280143,False,False,False
172,156002.0,451533.0,295531.0,1.5278701726722408,0.6569767441860465,906.9883720930233,3995.8672566371683,-5009.0,29045.0,26063.0,0.29045,10,7,0.7,17.2,16.27144738491324,0.9460143828437931,5,0.02910860117177985,5.371044930280599,32.023563800464096,6.6696873434034725,2012-01-10 22:30:00,2021-05-19 07:00:00,TF_U,5,0,4,139,37,115,22,3,-1,5000,4000,0,225,53265.0,525341.0,472076.0,1.1128314085020208,0.5822222222222222,236.73333333333332,4010.236641221374,-5022.085106382979,37718.0,36243.0,0.37718,5,3,0.6,45.0,11.29601699715435,0.25102259993676335,29,0.09830094808973998,1.4121904660904607,159.32695015488596,1.5276523488111604,False,False,False
276,179656.0,408870.0,229214.0,1.7837915659601944,0.6340579710144928,650.927536231884,2336.4,-2269.4455445544554,15049.0,12221.0,0.15049,10,9,0.9,27.6,8.2365041127896,0.2984240620575942,18,0.02243732466491517,11.938068974682704,23.11931691677428,6.64994831388365,2012-01-10 10:30:00,2021-05-03 17:30:00,TF_U,5,0,28,77,52,15,21,16,-1,3000,3000,460,225,21220.0,349201.0,327981.0,1.0646988697516016,0.5155555555555555,94.31111111111112,3010.353448275862,-3009.0,58066.0,54396.0,0.58066,5,3,0.6,45.0,14.628738838327793,0.3250830852961732,22,0.2467483506126296,0.36544621637447045,615.6856738925542,0.49050264491875795,False,False,False
228,184948.0,469587.0,284639.0,1.6497633844975566,0.6885964912280702,811.1754385964912,2991.0,-4009.0,23550.0,21126.0,0.2355,10,8,0.8,22.8,19.1666376811375,0.8406420035586624,6,0.016172113242641176,7.853418259023354,29.03194411402124,6.6245866265514,2012-01-10 22:30:00,2021-05-17 20:00:00,TF_U,5,0,4,139,37,115,22,3,-1,4000,3000,0,254,47644.0,458787.0,411143.0,1.1158818221397422,0.5984251968503937,187.5748031496063,3018.3355263157896,-4030.8137254901962,39867.0,38527.0,0.39867,5,4,0.8,50.8,11.496086290559932,0.22630091123149473,35,0.10989841323146671,1.1950736197857879,212.53920745529342,1.177354283636846,False,False,False
