symbol,timeframe,engine,famiglia,famiglia_capofila,good,gate_reason,expected_avg_trade,wf_efficiency_used,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,avg_trade,net_profit,max_dd,n_trades,unger_score,oos_unger_score,wf_mean_unger,ms_blocks_positive,ms_blocks_total,ms_min_avg_trade,plateau_ratio,plateau_min,np_dd,oos_np_dd,recovery_trades,oos_recovery_trades,pattern_null_p,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,pattern_null_valid_draws,pattern_null_draws,pattern_null_min_trades,wfo_measured,wfo_efficiency,wfo_net_profit,wfo_avg_trade,wfo_positive_windows,wfo_total_windows,mc_dd_p95,mc_dd_worst,passes_multisplit,passes_plateau,passes_expectancy,passes_null,passes_pattern_useful,passes_wfo,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
NQ,30m,TF_M,1.0,False,True,—,444.94736842105266,1.0012144799850193,444.94736842105266,84540.0,25409.0,190,1.390743077413719,453.9425837320574,94874.0,20208.0,209,4.0020149402054725,3.498277871265164,5.0004385779702245,3.0,3.0,96.46875,0.9701584101872858,0.5568411810421658,4.69487331749802,3.3271675390609627,44.51664312667327,57.105630470783055,0.09090909090909091,89.70140309850922,444.94736842105266,78.92740046838408,366.0199679526686,54.0,200.0,95.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,44800.9,68826.0,True,True,True,True,True,True,,,,,,,1750,4500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,2.0,False,True,—,432.7276422764228,1.0012144799850193,432.7276422764228,106451.0,29781.0,246,1.4855942486474651,329.59022556390977,87671.0,9854.0,266,4.161093664061051,3.142566286887895,3.5810586209878155,2.0,3.0,-39.93333333333333,5.539493163983189,0.6175898310755069,8.89699614369799,3.5744602263187937,29.897731290848743,68.82157988182355,0.15217391304347827,123.8078078078078,432.7276422764228,162.14427860696517,270.58336366945764,45.0,200.0,123.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,28501.05,37134.0,True,True,True,True,True,True,,,,,,,1500,4000,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,48.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,417.31868131868134,1.0012144799850193,417.31868131868134,75952.0,25501.0,182,1.3022243444351598,459.2080924855491,79443.0,19273.0,173,4.14547517920968,3.275130939529604,3.734741468451299,3.0,3.0,67.57534246575342,0.8908239284019037,0.465771929368224,4.121984122866186,2.978393004195914,41.97007917626475,61.106777965030545,0.14285714285714285,121.17857142857143,417.31868131868134,127.26820388349515,290.05047743518617,55.0,200.0,91.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,51176.6,83675.0,True,True,True,True,True,True,,,,,,,2500,4000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,396.1456310679612,1.0012144799850193,396.1456310679612,81606.0,16239.0,206,1.5383798333520258,85.66510903426791,54997.0,18934.0,642,0.7802292590542794,3.8959616810795135,2.240611282800977,3.0,3.0,341.8955223880597,0.9845533671191431,0.678049730076449,2.9046688496883912,5.025309440236468,221.02347400767314,40.99250055143004,0.08,128.5728155339806,396.1456310679612,127.85387131952018,268.291759748441,49.0,200.0,103.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,37973.5,61779.0,True,True,True,True,True,True,,,,,,,1000,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,92.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,2.0,False,True,—,393.734693877551,1.0012144799850193,393.734693877551,96465.0,27508.0,245,1.5021577191165065,170.73880597014926,45758.0,10336.0,268,2.1047253728610897,2.975182586161109,2.3947661712229005,2.0,3.0,-39.472972972972975,4.037317307578177,0.6568005514646124,4.427051083591332,3.5067980223934856,60.53691157830325,69.86430311511947,0.08333333333333333,106.041782729805,393.734693877551,141.22770398481973,252.5069898927313,47.0,200.0,123.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,33991.15,49400.0,True,True,True,True,True,True,,,,,,,5000,4000,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,12.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,371.35885167464113,1.0012144799850193,371.35885167464113,77614.0,13570.0,209,2.5606136770353687,202.7098445595855,78246.0,15754.0,386,2.024038956312283,3.995243957385137,3.0952158996879997,3.0,3.0,322.1875,1.3399323132900367,0.4390060267987436,4.9667386060683,5.719528371407517,77.7169951179613,36.54147447625429,0.1,203.41847826086956,371.35885167464113,240.1013071895425,131.25754448509863,49.0,200.0,105.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,23574.0,33521.0,True,True,True,True,True,True,,,,,,,250,7500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,364.13775510204084,1.0012144799850193,364.13775510204084,71371.0,20429.0,196,1.4504664285083124,276.16883116883116,106325.0,25496.0,385,2.1675947158680278,3.192872697757906,3.259301768909063,3.0,3.0,75.18032786885246,0.8506242000571088,0.4787027803728245,4.170262001882648,3.49361202212541,92.32033858452857,56.102394529991166,0.09433962264150944,125.84848484848484,364.13775510204084,130.8054919908467,233.33226311119415,52.0,200.0,98.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,38864.5,61714.0,True,True,True,True,True,True,,,,,,,1000,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,322.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,357.33663366336634,1.0012144799850193,357.33663366336634,72182.0,19515.0,202,1.3663912125395923,261.09578544061304,68146.0,19962.0,261,2.3159932160511665,3.2057725874578984,3.5183348617922467,3.0,3.0,73.14285714285714,1.0477922107949276,0.5061614279986177,3.4137861937681593,3.6987957981040225,76.45470020250637,54.61236873458757,0.058823529411764705,64.36151650600463,357.33663366336634,59.088235294117645,298.2483983692487,50.0,200.0,101.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,41148.35,61321.0,True,True,True,True,True,True,,,,,,,1750,3000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,3.0,True,True,—,335.2105263157895,1.0012144799850193,335.2105263157895,57321.0,6123.0,171,2.6273279582103113,154.96995708154506,36108.0,4789.0,233,2.8064967344210565,5.368772054101955,3.2495762944977784,2.0,3.0,-9.784313725490197,0.9700314074902573,0.7413832187277917,7.5397786594278555,9.361587457128858,30.90276393043093,18.26613283089967,0.09259259259259259,151.6145251396648,335.2105263157895,159.98058252427185,175.22994379151763,53.0,200.0,86.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,7570.299999999997,12058.0,True,True,True,True,True,True,,,,,,,250,4000,,,,47.0,24.0,50.0,-36.0,9.0,19.0,-1.0,12.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,2.0,False,True,—,313.5506072874494,1.0012144799850193,313.5506072874494,77447.0,29186.0,247,1.335039237231677,394.957345971564,83336.0,19225.0,211,3.569903434059523,2.300169307832204,4.641182156906678,2.0,3.0,-175.62337662337663,5.399966076824544,0.8029649726104158,4.334772431729519,2.653566778592476,48.67614236344437,93.0822627086911,0.10869565217391304,3.7777777777777777,313.5506072874494,21.26342451874367,292.28718276870575,45.0,200.0,124.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,34860.24999999999,61220.0,True,True,True,True,True,True,,,,,,,2500,2000,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
