n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
412,49097.0,181088.0,131991.0,1.371972331446841,0.4320388349514563,119.16747572815534,1017.3483146067416,-564.0641025641025,16398.0,15455.0,0.16398,10,5,0.5,41.2,10.225458424931373,0.24819073846920808,15,0.39760066806525857,2.994084644468838,137.6046601625354,1.1662770936480262,2012-01-11 12:30:00,2021-04-29 18:00:00,MAC,5,16,30,5,1.6,0.5,1,3000,0,0,153,-24757.0,159357.0,184114.0,0.8655343971669727,0.33986928104575165,-161.81045751633988,3064.5576923076924,-1822.9108910891089,57483.0,56593.0,0.57483,5,2,0.4,30.6,11.271202242884296,0.3683399425779182,18,0.0,0.0,0.0,0.0,False,False,False
368,35003.0,129935.0,94932.0,1.368716555007795,0.421195652173913,95.11684782608695,838.2903225806451,-445.6901408450704,10470.0,9660.0,0.1047,10,7,0.7,36.8,9.019977827023746,0.2451080931256453,14,0.11401879838870954,3.343170964660936,110.07513641687855,1.1649936427364016,2012-01-11 12:30:00,2021-04-14 16:30:00,MAC,5,16,30,5,2.0,0.5,1,1000,4000,2000,141,-14714.0,70300.0,85014.0,0.8269226245089044,0.28368794326241137,-104.35460992907801,1757.5,-841.7227722772277,21185.0,19855.0,0.21185,5,1,0.2,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False
541,60116.0,205647.0,145531.0,1.4130803746280862,0.41035120147874304,111.12014787430684,926.3378378378378,-456.2100313479624,14313.0,13528.0,0.14313,10,8,0.8,54.1,14.01748907615055,0.25910331009520426,19,0.09965732916361701,4.200097813176832,128.8065240534966,1.164037367266686,2012-01-11 11:00:00,2021-05-12 13:00:00,MAC,5,5,40,2,2.0,0.5,1,1500,6000,0,191,57196.0,201665.0,144469.0,1.3959050038416545,0.31413612565445026,299.4554973821989,3361.0833333333335,-1102.8167938931297,21229.0,17743.0,0.21229,5,4,0.8,38.2,15.315351775261318,0.4009254391429664,20,0.1047450870690258,2.694239012671346,70.89200293726834,2.5757693359404583,True,True,True
412,37847.0,130337.0,92490.0,1.40920099470213,0.4174757281553398,91.8616504854369,757.7732558139535,-385.375,9914.0,9054.0,0.09914,10,8,0.8,41.2,10.225458424931373,0.24819073846920808,15,0.10545089439057256,3.817530764575348,107.92316431949692,1.1562433124354217,2012-01-11 12:30:00,2021-04-29 16:00:00,MAC,5,16,30,5,1.6,0.5,1,3000,4000,1000,153,-17232.0,62411.0,79643.0,0.7836344688170963,0.3660130718954248,-112.62745098039215,1114.482142857143,-821.0618556701031,20571.0,19163.0,0.20571,5,1,0.2,30.6,11.271202242884296,0.3683399425779182,18,0.0,0.0,0.0,0.0,False,False,False
541,59651.0,203572.0,143921.0,1.4144704386434224,0.41035120147874304,110.26062846580406,916.990990990991,-451.16300940438873,14313.0,13528.0,0.14313,10,8,0.8,54.1,14.01748907615055,0.25910331009520426,19,0.1571809357764329,4.167609865157549,129.81061507770198,1.155033485175745,2012-01-11 11:00:00,2021-05-12 13:00:00,MAC,5,5,40,2,2.0,0.5,1,1500,0,4000,191,40716.0,181301.0,140585.0,1.2896183803392964,0.3193717277486911,213.17277486910996,2972.1475409836066,-1081.423076923077,29052.0,26441.0,0.29052,5,4,0.8,38.2,15.315351775261318,0.4009254391429664,20,0.23273406032026722,1.4014869888475836,136.28381962864722,1.5674120011062866,True,False,False
368,39618.0,136665.0,97047.0,1.4082351850134471,0.43478260869565216,107.65760869565217,854.15625,-466.57211538461536,13650.0,12840.0,0.1365,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.17734363168256853,2.9024175824175824,126.79085264273814,1.1548294492557942,2012-01-11 12:30:00,2021-04-14 16:30:00,MAC,5,16,30,5,2.0,0.5,1,1500,0,2000,141,-3129.0,93980.0,97109.0,0.9677784757334542,0.3546099290780142,-22.19148936170213,1879.6,-1067.131868131868,25708.0,24823.0,0.25708,5,2,0.4,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False
368,30798.0,126143.0,95345.0,1.3230164140752005,0.42934782608695654,83.69021739130434,798.373417721519,-454.0238095238095,8459.0,7455.0,0.08459,10,7,0.7,36.8,9.019977827023746,0.2451080931256453,14,0.06464705500357167,3.640855893131576,101.07513474900968,1.140393230095259,2012-01-11 12:30:00,2021-04-13 21:30:00,MAC,5,16,30,5,2.0,0.5,1,1000,2000,0,141,-16819.0,73127.0,89946.0,0.8130100282391657,0.2978723404255319,-119.28368794326241,1741.1190476190477,-908.5454545454545,23549.0,22456.0,0.23549,5,1,0.2,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False
368,39068.0,136115.0,97047.0,1.4025678279596485,0.43478260869565216,106.16304347826087,850.71875,-466.57211538461536,13650.0,12840.0,0.1365,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.15334800860038905,2.8621245421245423,128.57581652503328,1.1387974386270223,2012-01-11 12:30:00,2021-04-14 16:30:00,MAC,5,16,30,5,2.0,0.5,1,1500,6000,2000,141,-4434.0,92675.0,97109.0,0.9543399684890175,0.3546099290780142,-31.4468085106383,1853.5,-1067.131868131868,25708.0,24823.0,0.25708,5,2,0.4,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False
541,52721.0,185290.0,132569.0,1.3976872421154267,0.41589648798521256,97.45101663585952,823.5111111111111,-419.5221518987342,11658.0,10873.0,0.11658,10,9,0.9,54.1,14.01748907615055,0.25910331009520426,19,0.11363593255059654,4.522302281694974,119.6293317653307,1.1311333199447606,2012-01-11 11:00:00,2021-05-12 13:00:00,MAC,5,5,40,2,2.0,0.5,1,1500,6000,2000,191,71666.0,175616.0,103950.0,1.6894276094276095,0.39790575916230364,375.21465968586386,2310.7368421052633,-903.9130434782609,11505.0,9086.0,0.11505,5,4,0.8,38.2,15.315351775261318,0.4009254391429664,20,0.08359612647559513,6.2291177748804865,30.662448022772306,4.384054389500167,True,True,True
412,40957.0,145203.0,104246.0,1.3928879765170845,0.4199029126213592,99.41019417475728,839.3236994219653,-436.1757322175732,12347.0,11345.0,0.12347,10,7,0.7,41.2,10.225458424931373,0.24819073846920808,15,0.17154576751226897,3.3171620636591883,124.20255389799058,1.1212169252505833,2012-01-11 12:30:00,2021-04-29 16:00:00,MAC,5,16,30,5,1.6,0.5,1,1000,0,2000,153,-8957.0,85182.0,94139.0,0.9048534613709515,0.27450980392156865,-58.54248366013072,2028.142857142857,-848.0990990990991,22064.0,21179.0,0.22064,5,3,0.6,30.6,11.271202242884296,0.3683399425779182,18,0.0,0.0,0.0,0.0,False,False,False
