n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_direction,p_dvol_min,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,p_trailing_stop,p_breakeven,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
233,119428.0,269270.0,149842.0,1.797026200931648,0.4721030042918455,512.5665236051502,2447.909090909091,-1218.2276422764228,16247.0,13443.0,0.16247,10,10,1.0,23.3,13.153326575433303,0.5645204538812576,6,0.08365709883779349,7.350772450298517,31.697349030378135,5.0396815533193,2012-01-12 11:30:00,2021-05-07 15:30:00,PC,8,50,5,0,1,0,55,24,-48,-27,22,21,-1,5000,10000,0,2000,0,230,48385.0,222821.0,174436.0,1.2773796693343118,0.3739130434782609,210.3695652173913,2590.9418604651164,-1211.361111111111,26267.0,21753.0,0.26267,5,4,0.8,46.0,16.69730517179344,0.36298489503898784,22,0.20648961454996384,1.8420451517112728,124.86121731941716,1.6267361554630124,False,False,False
153,82393.0,175209.0,92816.0,1.8877025512842613,0.5163398692810458,538.5163398692811,2217.8354430379745,-1254.2702702702702,18682.0,15743.0,0.18682,10,7,0.7,15.3,6.4815121692395214,0.42362824635552426,5,0.12126030123918294,4.410287977732577,34.691612151517724,4.9377221536787586,2012-01-12 11:30:00,2021-04-14 16:30:00,PC,7,50,5,0,1,0,3,24,-48,-27,22,21,-1,5000,10000,0,2000,0,116,33051.0,127330.0,94279.0,1.350565873630395,0.3879310344827586,284.92241379310343,2829.5555555555557,-1327.8732394366198,20705.0,14403.0,0.20705,5,3,0.6,23.2,8.634813257969162,0.37219022663660184,12,0.3022903996853348,1.5962810915237866,72.66890563069197,2.481580937943742,True,False,False
225,95490.0,160907.0,65417.0,2.459712307198435,0.29777777777777775,424.4,2401.597014925373,-414.03164556962025,11891.0,9306.0,0.11891,10,9,0.9,22.5,11.4564392373896,0.5091750772173155,8,0.10462875693789926,8.030443192330333,28.01837888784166,4.877593830088347,2012-01-12 11:30:00,2021-05-07 09:30:00,PC,8,50,2,0,1,0,3,24,52,46,11,10,-1,2250,10000,0,2000,500,178,65473.0,147548.0,82075.0,1.797721596101127,0.29775280898876405,367.8258426966292,2783.9245283018868,-656.6,21316.0,15943.0,0.21316,5,4,0.8,35.6,10.63202708800161,0.2986524462921801,22,0.15259725382982298,3.071542503283918,57.951338719777624,3.15739436696631,True,True,True
336,161211.0,384828.0,223617.0,1.7209246166436363,0.44047619047619047,479.79464285714283,2600.189189189189,-1189.4521276595744,17310.0,15071.0,0.1731,10,9,0.9,33.6,23.00521679967394,0.6846790714188672,6,0.061974679147204594,9.31317157712305,36.07793512849619,4.570316826811675,2012-01-11 21:30:00,2021-05-07 15:30:00,PC,8,50,5,0,1,0,55,56,-48,53,22,21,-1,5000,10000,0,2000,0,412,105447.0,445594.0,340147.0,1.3100042040647133,0.3737864077669903,255.9393203883495,2893.4675324675327,-1318.3992248062016,39691.0,35975.0,0.39691,5,4,0.8,82.4,28.76525682138089,0.3490929225895739,42,0.09474902083511148,2.656697991988108,155.07972725634679,1.610016915447693,True,False,False
261,102851.0,182082.0,79231.0,2.2981156365563984,0.2950191570881226,394.06513409961684,2364.7012987012986,-430.6032608695652,13821.0,12565.0,0.13821,10,9,0.9,26.1,11.886547017532047,0.45542325737670675,9,0.09714052367016364,7.44164676940887,35.07288213046057,4.200855323246886,2012-01-12 11:30:00,2021-05-07 09:30:00,PC,8,50,2,0,1,0,3,56,-48,46,11,10,-1,2250,10000,0,2000,500,178,67233.0,161929.0,94696.0,1.7099877502745628,0.2752808988764045,377.7134831460674,3304.673469387755,-734.077519379845,16660.0,13110.0,0.1666,5,4,0.8,35.6,11.128342194594845,0.3125938818706417,24,0.14860262073684055,4.035594237695078,44.10750673032588,3.667451983048197,True,True,True
228,72793.0,139925.0,67132.0,2.084326401716022,0.4824561403508772,319.2675438596491,1272.0454545454545,-568.9152542372881,9485.0,7159.0,0.09485,10,8,0.8,22.8,9.795917517006766,0.42964550513187566,12,0.06698446279175195,7.674538745387454,29.708625829406678,4.1084267720995085,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,7,50,0,0,1,0,22,8,-48,16,14,4,-1,2500,10000,0,1000,0,147,15437.0,84268.0,68831.0,1.2242739463323211,0.42857142857142855,105.01360544217687,1337.5873015873017,-819.4166666666666,14179.0,12050.0,0.14179,5,3,0.6,29.4,15.252540771950095,0.5187939038078264,11,0.33886117768996565,1.0887227590098032,135.02059985748528,1.1052543049035035,False,False,False
247,99587.0,172797.0,73210.0,2.360292309793744,0.291497975708502,403.1862348178138,2399.9583333333335,-418.34285714285716,15275.0,11634.0,0.15275,10,9,0.9,24.7,10.276672613253767,0.4160596199697882,10,0.1003243395222268,6.519607201309329,37.88571801540362,4.088410866925607,2012-01-11 20:00:00,2021-05-07 09:30:00,PC,8,50,2,0,1,0,3,24,-48,53,11,10,-1,2250,10000,0,2000,500,199,62239.0,154783.0,92544.0,1.6725341459197787,0.2663316582914573,312.75879396984925,2920.433962264151,-633.8630136986301,17287.0,13263.0,0.17287,5,3,0.6,39.8,12.859237924542807,0.32309643026489465,20,0.16052635807130577,3.600335512234627,55.27262648821478,2.981186601966479,True,True,True
342,135912.0,375710.0,239798.0,1.566777037339761,0.43859649122807015,397.4035087719298,2504.733333333333,-1248.9479166666667,15439.0,12298.0,0.15439,10,9,0.9,34.2,25.98768939324926,0.7598739588669373,6,0.07351080110659838,8.803160826478399,38.849682147271764,4.008312385420537,2012-01-12 11:30:00,2021-05-17 02:30:00,PC,8,50,5,0,1,0,55,56,52,-27,22,21,-1,5000,10000,0,2000,0,394,131099.0,414744.0,283645.0,1.462193939607608,0.4289340101522843,332.73857868020303,2454.1065088757396,-1260.6444444444444,20571.0,14267.0,0.20571,5,5,1.0,78.8,26.65633133047382,0.3382783163765713,43,0.07620958207156424,6.3730008264061055,61.823309102281485,2.907467722318302,True,True,True
242,69232.0,128267.0,59035.0,2.172728042686542,0.4214876033057851,286.08264462809916,1257.5196078431372,-421.67857142857144,8034.0,5958.0,0.08034,10,8,0.8,24.2,9.826494797230598,0.40605350401779333,12,0.07042985902472845,8.617376151356734,28.082794083660737,4.000046547750202,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,7,50,0,0,1,0,22,8,-48,16,14,4,-1,2500,10000,0,1000,500,147,18777.0,80822.0,62045.0,1.3026351841405432,0.3877551020408163,127.73469387755102,1417.9298245614036,-689.3888888888889,12208.0,10079.0,0.12208,5,3,0.6,29.4,15.252540771950095,0.5187939038078264,11,0.2785855035415668,1.5380897771952817,95.57309474356926,1.4488587842332794,False,False,False
168,63283.0,148895.0,85612.0,1.7391837592860815,0.4166666666666667,376.6845238095238,2127.0714285714284,-873.5918367346939,20156.0,16491.0,0.20156,10,8,0.8,16.8,6.954135460285484,0.4139366345408026,6,0.121059368234755,3.1396606469537605,53.508967653240205,3.3251791571289195,2012-01-12 11:30:00,2021-04-14 16:30:00,PC,7,50,5,0,1,0,3,24,-48,-27,22,21,-1,5000,10000,0,2000,1000,116,25441.0,110857.0,85416.0,1.2978481783272455,0.3620689655172414,219.31896551724137,2639.4523809523807,-1154.2702702702702,19445.0,12485.0,0.19445,5,3,0.6,23.2,8.634813257969162,0.37219022663660184,12,0.39271255060728744,1.3083569040884546,88.66082308085375,1.971113634238386,True,False,False
