# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMOPLATFORM,@CT,3,5759,0.01,0.35,0.39,0.39,0.45,0.45,0.48,35,39,39.37,45,45,48,0
FTMOPLATFORM,@CT,4,3120,0.01,0.35,0.36,0.38,0.45,0.45,0.45,35,36,37.80,45,45,45,0
FTMOPLATFORM,@CT,5,6416,0.01,0.35,0.39,0.39,0.45,0.45,0.45,35,39,39.42,45,45,45,0
FTMOPLATFORM,@CT,6,9470,0.01,0.35,0.40,0.40,0.45,0.45,0.45,35,40,40.10,45,45,45,0
FTMOPLATFORM,@CT,7,10588,0.01,0.35,0.41,0.41,0.45,0.45,0.45,35,41,40.65,45,45,45,0
FTMOPLATFORM,@CT,8,10418,0.01,0.35,0.41,0.41,0.45,0.45,0.45,35,41,40.88,45,45,45,0
FTMOPLATFORM,@CT,9,9206,0.01,0.35,0.40,0.41,0.45,0.45,0.45,35,40,40.62,45,45,45,0
FTMOPLATFORM,@CT,10,8646,0.01,0.35,0.40,0.40,0.45,0.45,0.45,35,40,40.35,45,45,45,0
FTMOPLATFORM,@CT,11,9267,0.01,0.35,0.41,0.41,0.45,0.45,0.45,35,41,40.76,45,45,45,0
FTMOPLATFORM,@CT,12,16445,0.01,0.35,0.45,0.44,0.45,0.48,0.79,35,45,43.94,45,48,79,0
FTMOPLATFORM,@CT,13,21809,0.01,0.36,0.45,0.45,0.45,0.45,0.61,36,45,44.75,45,45,61,0
FTMOPLATFORM,@CT,14,20079,0.01,0.35,0.45,0.45,0.45,0.45,0.71,35,45,44.51,45,45,71,0
FTMOPLATFORM,@CT,15,17035,0.01,0.35,0.45,0.44,0.45,0.45,0.45,35,45,43.56,45,45,45,0
FTMOPLATFORM,@CT,16,17602,0.01,0.35,0.45,0.43,0.45,0.45,0.50,35,45,43.04,45,45,50,0
FTMOPLATFORM,@CT,17,14774,0.01,0.35,0.41,0.41,0.45,0.45,0.45,35,41,41.35,45,45,45,0
FTMOPLATFORM,@CT,18,8379,0.01,0.35,0.45,0.44,0.45,0.45,0.45,35,45,43.73,45,45,45,0
FTMOPLATFORM,@CT,19,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@CT,20,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@CT,21,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@CT,22,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@CT,23,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@ES,0,83550,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,1,69196,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,2,47252,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,3,34817,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,4,31641,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,5,38233,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,6,37755,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,7,53264,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,8,65930,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,9,45450,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
FTMOPLATFORM,@ES,10,39415,0.01,0.60,0.60,0.60,0.60,0.60,0.60,60,60,60.00,60,60,60,0
