# Misure di spread del broker FTMO, unite dal server Piootoo. Ogni simbolo porta la finestra in cui
# e' stato misurato (firstTickUtc/lastTickUtc): i simboli non si confrontano fra loro su periodi diversi.
# Il backtest legge solo il file spread-by-symbol piu' recente: le misure non rifatte restano qui, gli originali in storico/.
# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
# 2026-09-24 07:34Z: @AP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:35Z: @BP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:36Z: @BRN dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @BTC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @C dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @CC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CL dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CT dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:44Z: @ES dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:45Z: @ETH dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMOPLATFORM,@HO,12,51823,0.001,0.033,0.034,0.034,0.035,0.036,0.066,33,34,34.04,35,36,66,0
FTMOPLATFORM,@HO,13,71557,0.001,0.033,0.034,0.034,0.035,0.035,0.048,33,34,34.13,35,35,48,0
FTMOPLATFORM,@HO,14,71662,0.001,0.033,0.034,0.034,0.035,0.035,0.056,33,34,34.06,35,35,56,0
FTMOPLATFORM,@HO,15,75858,0.001,0.033,0.034,0.034,0.035,0.035,0.037,33,34,34.14,35,35,37,0
FTMOPLATFORM,@HO,16,52899,0.001,0.033,0.034,0.034,0.035,0.035,0.035,33,34,33.73,35,35,35,0
FTMOPLATFORM,@HO,17,49343,0.001,0.033,0.034,0.034,0.035,0.035,0.035,33,34,33.70,35,35,35,0
FTMOPLATFORM,@HO,18,48108,0.001,0.033,0.034,0.034,0.035,0.035,0.035,33,34,33.77,35,35,35,0
FTMOPLATFORM,@HO,19,21031,0.001,0.033,0.033,0.033,0.034,0.035,0.035,33,33,33.35,34,35,35,0
FTMOPLATFORM,@HO,20,0,0.001,,,,,,,,,,,,,0
FTMOPLATFORM,@HO,21,0,0.001,,,,,,,,,,,,,0
FTMOPLATFORM,@HO,22,4187,0.001,0.037,0.037,0.038,0.039,0.041,0.042,37,37,37.77,39,41,42,0
FTMOPLATFORM,@HO,23,3142,0.001,0.033,0.033,0.033,0.034,0.037,0.038,33,33,33.30,34,37,38,0
FTMOPLATFORM,@KC,0,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,1,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,2,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,3,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,4,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,5,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,6,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,7,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,8,17464,0.01,0.31,0.33,0.33,0.34,0.34,0.64,31,33,32.58,34,34,64,0
FTMOPLATFORM,@KC,9,20177,0.01,0.31,0.31,0.32,0.34,0.34,0.55,31,31,31.64,34,34,55,0
FTMOPLATFORM,@KC,10,18711,0.01,0.31,0.31,0.31,0.34,0.34,0.49,31,31,31.48,34,34,49,0
FTMOPLATFORM,@KC,11,21495,0.01,0.31,0.31,0.32,0.34,0.34,0.44,31,31,31.66,34,34,44,0
FTMOPLATFORM,@KC,12,35869,0.01,0.31,0.32,0.33,0.34,0.35,0.76,31,32,32.55,34,35,76,0
FTMOPLATFORM,@KC,13,36336,0.01,0.31,0.32,0.32,0.34,0.34,0.44,31,32,32.36,34,34,44,0
FTMOPLATFORM,@KC,14,38935,0.01,0.31,0.33,0.33,0.34,0.34,0.53,31,33,32.56,34,34,53,0
FTMOPLATFORM,@KC,15,37576,0.01,0.31,0.32,0.32,0.34,0.34,0.49,31,32,32.35,34,34,49,0
FTMOPLATFORM,@KC,16,31035,0.01,0.31,0.31,0.32,0.34,0.34,0.39,31,31,32.30,34,34,39,0
FTMOPLATFORM,@KC,17,10582,0.01,0.31,0.31,0.31,0.32,0.34,0.42,31,31,31.27,32,34,42,0
FTMOPLATFORM,@KC,18,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@KC,19,0,0.01,,,,,,,,,,,,,0
