# Griglia grossa @FDAX 240m Breakout di sessione, motore nudo (pattern spenti, nessun filtro orario), 200 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
sessions;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
2;2500;18000;-1;0;1445;34955.28;87008.81;1.02;1300;-69761.48;107631.81;0.96;1
2;2500;18000;21;0;1436;111175.24;50129.15;1.08;1286;-52763.59;107514.82;0.97;2
2;5000;0;-1;0;1396;-110393.11;200439.67;0.93;1271;-160042.51;204747.25;0.91;1
2;5000;0;21;0;1386;23091.39;89896.88;1.02;1260;-155296.55;165955.07;0.91;1
2;5000;2500;-1;0;1437;-95685.2;178619.37;0.93;1319;-119618.29;163201.76;0.93;0
2;5000;2500;21;0;1425;-16183.9;106348.54;0.99;1308;-79095.03;134268.89;0.95;1
2;5000;4500;-1;0;1420;-75967.78;157141.64;0.95;1302;-5430.72;101699.34;1;1
2;5000;4500;21;0;1406;31133.24;84802.43;1.02;1287;30156.28;68681.74;1.02;1
2;5000;9000;-1;0;1402;-105149.8;204445.16;0.93;1281;-189590.31;214117.85;0.9;1
2;5000;9000;21;0;1391;25908.22;81792.88;1.02;1268;-175418.48;181809.5;0.9;1
2;5000;18000;-1;0;1396;-117697.99;207744.54;0.93;1271;-153049.64;204747.25;0.92;1
2;5000;18000;21;0;1386;12046.14;89896.88;1.01;1260;-141681.55;160209.22;0.92;1
2;8000;0;-1;0;1363;-107628.66;212551.21;0.93;1232;-284921.15;295222.15;0.86;0
2;8000;0;21;0;1356;34055.72;76865.53;1.02;1223;-252524.51;257804.35;0.86;1
2;8000;2500;-1;0;1408;-62574.73;161804.21;0.96;1285;-221635.58;236770.27;0.87;0
2;8000;2500;21;0;1400;33217.88;79630.49;1.03;1276;-165716.79;195892.12;0.9;0
2;8000;4500;-1;0;1388;-60805.68;158412.67;0.96;1267;-73043.6;104434.38;0.96;1
2;8000;4500;21;0;1377;53633.86;76729.13;1.04;1254;-4427.27;98724.68;1;1
2;8000;9000;-1;0;1369;-87040.34;201211.7;0.95;1244;-322554.87;331469.68;0.84;0
2;8000;9000;21;0;1361;49947.54;73636.29;1.03;1232;-276164.9;281444.74;0.85;1
2;8000;18000;-1;0;1363;-114933.53;219856.08;0.93;1232;-274928.27;285229.28;0.86;0
2;8000;18000;21;0;1356;23010.47;81190.77;1.02;1223;-235909.51;241189.35;0.87;1
2;12000;0;-1;0;1357;-109915.3;227700.6;0.93;1212;-271567.47;292523.69;0.86;1
2;12000;0;21;0;1353;42984.6;89132.43;1.03;1206;-258849.94;271155.38;0.86;1
2;12000;2500;-1;0;1404;-52009.52;170693.9;0.96;1269;-227374.07;246915.5;0.87;0
2;12000;2500;21;0;1398;57206.55;69759.07;1.04;1263;-174816.31;207345.1;0.89;1
2;12000;4500;-1;0;1382;-48891.97;163630.92;0.97;1249;-70884.59;147131.32;0.96;1
2;12000;4500;21;0;1374;81776.99;83476.43;1.06;1240;-9468.08;145574.96;0.99;1
2;12000;9000;-1;0;1363;-85326.98;212361.09;0.95;1224;-314024.47;327802.41;0.84;1
2;12000;9000;21;0;1358;61486.42;81626.79;1.04;1215;-274330.33;282368.27;0.86;1
2;12000;18000;-1;0;1357;-117220.17;235005.47;0.93;1212;-268031.35;288987.56;0.86;1
2;12000;18000;21;0;1353;31939.35;89132.43;1.02;1206;-255072.44;267377.88;0.86;1
3;1000;0;-1;0;1260;85239.2;73034.55;1.1;1127;-80060.75;107309.63;0.91;1
3;1000;0;21;0;1253;129248.8;46431.86;1.15;1120;-66390.7;97529.08;0.92;2
3;1000;2500;-1;0;1290;15262.68;68046.09;1.02;1147;-61437.22;88232.4;0.92;2
3;1000;2500;21;0;1282;43666.51;54760.81;1.05;1140;-51337.05;78069.35;0.94;2
3;1000;4500;-1;0;1275;35966.15;56403.18;1.04;1139;-7546.89;58701.46;0.99;2
3;1000;4500;21;0;1266;68979.64;48245.88;1.08;1132;3453.03;62458.97;1;2
3;1000;9000;-1;0;1263;65687.17;71454.17;1.08;1132;-36798.92;74072.81;0.96;2
3;1000;9000;21;0;1256;108382.42;46431.86;1.13;1124;-29803.79;70631.41;0.97;2
3;1000;18000;-1;0;1260;70381.83;73034.55;1.08;1127;-61060.75;88309.63;0.93;1
3;1000;18000;21;0;1253;118203.55;46431.86;1.14;1120;-47390.7;85757;0.94;2
3;2500;0;-1;0;1232;58492.43;94396.46;1.05;1090;-62430.28;92324.22;0.95;1
3;2500;0;21;0;1226;122943.17;54798.8;1.11;1083;-51377.73;95358.73;0.96;1
3;2500;2500;-1;0;1266;13982.54;64619.72;1.01;1128;-21642.96;81383.85;0.98;2
3;2500;2500;21;0;1259;53599.79;48657.88;1.05;1122;74.03;59735.87;1;1
3;2500;4500;-1;0;1250;46624.38;82722.91;1.04;1114;37657.91;47359.32;1.03;1
3;2500;4500;21;0;1242;98654.88;59413.22;1.09;1104;62499.86;46696.43;1.05;2
3;2500;9000;-1;0;1236;55124.42;88996.94;1.05;1099;-73616.92;94275.21;0.95;1
3;2500;9000;21;0;1230;117419.58;56119.76;1.1;1090;-54516.2;90901.23;0.96;1
3;2500;18000;-1;0;1232;51187.56;94396.46;1.04;1090;-54872.4;89568.85;0.96;1
3;2500;18000;21;0;1226;111897.92;54798.8;1.1;1083;-37485.23;90246.23;0.97;1
3;5000;0;-1;0;1208;-40938.88;143419.73;0.97;1074;-168832.34;202130.17;0.9;1
3;5000;0;21;0;1203;74348.15;70771.5;1.06;1068;-164422.41;167807.46;0.89;1
3;5000;2500;-1;0;1245;-79573.05;156077.06;0.94;1119;-104420.92;159135.89;0.92;2
3;5000;2500;21;0;1238;-1032.41;82291.7;1;1113;-70135.91;111442.38;0.95;1
3;5000;4500;-1;0;1228;-47245.93;130303;0.96;1102;-36759.17;109399.46;0.98;2
3;5000;4500;21;0;1219;50315.86;75950.85;1.04;1092;-1647.2;68892.52;1;1
3;5000;9000;-1;0;1212;-41768.77;141485.81;0.97;1083;-193412.63;211707.88;0.88;1
3;5000;9000;21;0;1207;67168.06;69561;1.05;1075;-182558.38;185738.22;0.88;1
3;5000;18000;-1;0;1208;-48243.76;147323.09;0.96;1074;-161839.47;202130.17;0.9;1
3;5000;18000;21;0;1203;63302.9;70771.5;1.05;1068;-150807.41;155292.08;0.9;1
3;8000;0;-1;0;1190;-52030;160785.53;0.96;1057;-279416.72;289253.85;0.84;0
