# Griglia grossa @FDAX 240m Reversal Bollinger mirrored, motore nudo (pattern spenti, nessun filtro orario), 150 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
bbLength;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
50;5000;18000;21;0;614;-153799.35;174025.87;0.78;542;-83620.17;155273.38;0.88;1
50;8000;0;-1;0;621;-177514.29;199948.86;0.77;549;-38893.5;150397.92;0.95;3
50;8000;0;21;0;614;-158378.1;178457.34;0.78;542;20369.1;105800.99;1.03;3
50;8000;2500;-1;0;629;-225800.32;232299.79;0.69;559;-87110.96;145119.76;0.87;1
50;8000;2500;21;0;622;-198554.12;205742.04;0.71;551;-45966.24;116562.7;0.93;3
50;8000;4500;-1;0;626;-189765.13;194385.71;0.75;557;-53620.36;119370.28;0.93;3
50;8000;4500;21;0;619;-162568.83;172817.88;0.77;549;-15095.1;95974.66;0.98;3
50;8000;9000;-1;0;623;-159363.7;185857.17;0.79;550;-57614.11;138291.26;0.92;3
50;8000;9000;21;0;616;-146126.05;170970.03;0.79;543;6552.72;105601.5;1.01;3
50;8000;18000;-1;0;621;-177514.29;199948.86;0.77;549;-72823.3;163620.22;0.91;3
50;8000;18000;21;0;614;-158378.1;178457.34;0.78;542;-3770.9;105800.99;0.99;3
50;12000;0;-1;0;621;-190437.97;209574.79;0.76;549;-50294.89;173444.73;0.94;1
50;12000;0;21;0;614;-153646.28;170467.74;0.78;542;16024.64;121676.25;1.02;2
50;12000;2500;-1;0;629;-238253.69;244753.15;0.68;559;-93187.53;153501.73;0.87;1
50;12000;2500;21;0;622;-198768.71;205956.63;0.71;551;-48647.24;124050.24;0.92;2
50;12000;4500;-1;0;626;-200218.49;204839.08;0.74;557;-56798.82;134552.95;0.92;1
50;12000;4500;21;0;619;-160783.42;167774.68;0.77;549;-15216.63;108415.94;0.98;2
50;12000;9000;-1;0;623;-172287.38;195483.1;0.78;550;-64792.56;157338.06;0.92;1
50;12000;9000;21;0;616;-141394.23;162980.43;0.8;543;2431.19;121476.76;1;2
50;12000;18000;-1;0;621;-190437.97;209574.79;0.76;549;-84224.69;180303.28;0.89;1
50;12000;18000;21;0;614;-153646.28;170467.74;0.78;542;-8115.36;121676.25;0.99;2
