# Griglia grossa @FDAX 240m Volatility breakout (range d1), motore nudo (pattern spenti, nessun filtro orario), 600 combinazioni.
# volMultTenths e' un intero da dividere per 10: il valore passato alla classe e' volMultTenths/10.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
volMultTenths;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
5;12000;18000;-1;0;1242;-84079.75;167430.25;0.94;1103;13010.72;71909.74;1.01;2
5;12000;18000;-1;1;724;-100976.89;174564.6;0.86;622;15963.93;74830.29;1.02;2
5;12000;18000;-1;2;685;72278.65;40121.38;1.11;614;-21900.19;64036.31;0.97;1
5;12000;18000;21;0;1227;-5244.25;97275.08;1;1097;15751.18;79047.76;1.01;2
5;12000;18000;21;1;719;-7476.97;96485.97;0.99;618;14368.02;62475.76;1.02;2
5;12000;18000;21;2;680;70844.2;48359.35;1.11;613;-28505.11;76294.11;0.96;2
10;1000;0;-1;0;561;47587.54;18967.38;1.14;481;2496.04;40076.93;1.01;2
10;1000;0;-1;1;281;15686.19;19168.25;1.1;220;14435.45;23069.2;1.1;3
10;1000;0;-1;2;304;28769.41;15264.66;1.15;277;-3526.67;25215.19;0.98;2
10;1000;0;21;0;558;66619.45;20174.41;1.21;478;-24623.63;45336.75;0.93;2
10;1000;0;21;1;280;34366.75;19341.25;1.23;220;-4103.55;22259.93;0.97;2
10;1000;0;21;2;302;29010.33;12431.98;1.16;276;-10520.96;24483.31;0.95;2
10;1000;2500;-1;0;561;41992.32;15311.5;1.13;481;9738.54;19735.48;1.03;2
10;1000;2500;-1;1;281;14234.29;17959.95;1.09;220;18780.75;12892.6;1.14;3
10;1000;2500;-1;2;304;22791.29;14717.54;1.13;277;-10372.92;22486.59;0.95;1
10;1000;2500;21;0;558;52737.52;17713.62;1.17;478;2173.75;17868.55;1.01;2
10;1000;2500;21;1;280;29272.7;15038.8;1.2;220;10963.95;16028.51;1.08;2
10;1000;2500;21;2;302;19319.96;12701.2;1.11;276;-8451.09;22517.1;0.96;1
10;1000;4500;-1;0;561;33312.17;20992.75;1.1;481;37675.67;19808.72;1.12;3
10;1000;4500;-1;1;281;5728.29;22229.78;1.03;220;20333.95;16999.21;1.15;3
10;1000;4500;-1;2;304;24580.79;16217.54;1.13;277;21212.33;16649.12;1.11;4
10;1000;4500;21;0;558;52508.42;17713.62;1.17;478;15003.87;21876.97;1.05;2
10;1000;4500;21;1;280;25682.85;19833.75;1.17;220;12646.45;16411.11;1.09;3
10;1000;4500;21;2;302;24225.71;14201.2;1.13;276;8461.54;17319.94;1.04;3
10;1000;9000;-1;0;561;47310.62;15952.01;1.14;481;19138.12;31688.68;1.06;3
10;1000;9000;-1;1;281;21610.39;19168.25;1.13;220;5320.65;23069.2;1.04;2
10;1000;9000;-1;2;304;22568.29;14448.32;1.12;277;21337.71;25215.19;1.1;3
10;1000;9000;21;0;558;65313.32;19091.84;1.2;478;-5963.63;34394.25;0.98;2
10;1000;9000;21;1;280;37333.25;19341.25;1.25;220;-4871.05;22259.93;0.97;2
10;1000;9000;21;2;302;24737.71;12431.98;1.14;276;8014.04;24483.31;1.04;2
10;1000;18000;-1;0;561;37297.42;18967.38;1.11;481;-228.96;40076.93;1;2
10;1000;18000;-1;1;281;15686.19;19168.25;1.1;220;14435.45;23069.2;1.1;3
10;1000;18000;-1;2;304;18479.29;15264.66;1.1;277;-6251.67;25215.19;0.97;1
10;1000;18000;21;0;558;60141.45;20174.41;1.19;478;-23371.13;45336.75;0.93;2
10;1000;18000;21;1;280;34366.75;19341.25;1.23;220;-4103.55;22259.93;0.97;2
10;1000;18000;21;2;302;22532.33;12431.98;1.12;276;-9268.46;24483.31;0.95;2
10;2500;0;-1;0;561;15384.02;56154.79;1.03;481;-19682.56;65536.77;0.96;1
10;2500;0;-1;1;281;357.59;36295.36;1;220;34362.85;22540.84;1.17;3
10;2500;0;-1;2;304;7746.16;37022.68;1.03;277;-44411.92;69018.7;0.86;2
10;2500;0;21;0;558;30282.35;44850.11;1.07;478;-47433.61;83500.77;0.91;1
10;2500;0;21;1;280;18434.9;24773.62;1.09;220;4685.6;24819.21;1.02;3
10;2500;0;21;2;302;6760.08;36709.99;1.03;276;-37481.84;78524.45;0.88;2
10;2500;2500;-1;0;561;1659.12;34703.14;1;481;27788.14;30635.13;1.06;4
10;2500;2500;-1;1;281;-810.36;30502.59;1;220;47845.7;16795.39;1.28;3
10;2500;2500;-1;2;304;219.79;22532.49;1;277;-18338.67;52230.2;0.93;2
10;2500;2500;21;0;558;8524.17;36340.68;1.02;478;18145.77;30869.09;1.04;3
10;2500;2500;21;1;280;14053.1;16041.89;1.07;220;34243.1;18822.28;1.21;2
10;2500;2500;21;2;302;-5208.8;27022.82;0.98;276;-11054.96;52912.07;0.96;2
10;2500;4500;-1;0;561;3053.19;44203.74;1.01;481;37736.79;42195.31;1.08;4
10;2500;4500;-1;1;281;-6974.01;40444.78;0.97;220;39683.3;22503.14;1.21;3
10;2500;4500;-1;2;304;9875.79;24716.93;1.04;277;7528.71;36135.89;1.02;2
10;2500;4500;21;0;558;15786.82;37236.31;1.04;478;13909.15;46610.28;1.03;2
10;2500;4500;21;1;280;12468;25376.12;1.06;220;21148.1;25121.71;1.11;2
10;2500;4500;21;2;302;5873.96;20632.49;1.02;276;5568.42;43952.73;1.02;2
10;2500;9000;-1;0;561;25295.94;49138.4;1.05;481;-5005.89;58727.55;0.99;1
10;2500;9000;-1;1;281;8104.89;36295.36;1.04;220;25699.4;22540.84;1.13;3
10;2500;9000;-1;2;304;21410.79;30739.36;1.08;277;-21964.3;62277.57;0.93;2
10;2500;9000;21;0;558;31373.72;42291.57;1.07;478;-28366.11;70218.27;0.94;1
10;2500;9000;21;1;280;21401.4;24773.62;1.11;220;4325.6;25569.21;1.02;2
10;2500;9000;21;2;302;16384.96;24891.48;1.06;276;-18946.84;65649.45;0.94;2
10;2500;18000;-1;0;561;5093.89;56154.79;1.01;481;-22407.56;65536.77;0.96;1
10;2500;18000;-1;1;281;357.59;36295.36;1;220;34362.85;22540.84;1.17;3
10;2500;18000;-1;2;304;-2543.97;37022.68;0.99;277;-47136.92;71743.7;0.86;2
10;2500;18000;21;0;558;23804.35;44850.11;1.05;478;-46181.11;82248.27;0.91;1
10;2500;18000;21;1;280;18434.9;24773.62;1.09;220;4685.6;24819.21;1.02;3
10;2500;18000;21;2;302;282.08;36709.99;1;276;-36229.34;77271.95;0.88;2
10;5000;0;-1;0;561;17964.34;48802.69;1.04;481;-11592.84;84570.13;0.98;2
10;5000;0;-1;1;281;-1485.01;39797.58;0.99;220;64580.45;29502.53;1.3;2
10;5000;0;-1;2;304;25155.54;37611.23;1.08;277;-73427.3;90233.23;0.81;1
10;5000;0;21;0;558;14496.97;43329.45;1.03;478;-47300.46;89097.31;0.92;1
10;5000;0;21;1;280;4773.9;29791.12;1.02;220;22504.5;34725.31;1.11;2
10;5000;0;21;2;302;17903.21;29951.48;1.06;276;-66722.34;106060.71;0.82;2
10;5000;2500;-1;0;561;1084.47;36517;1;481;5933.92;51649.13;1.01;1
10;5000;2500;-1;1;281;-4119.06;34053.25;0.98;220;35738.35;20429.88;1.19;3
10;5000;2500;-1;2;304;353.16;30379.23;1;277;-34973.05;55634.7;0.89;1
10;5000;2500;21;0;558;1216.05;39988.24;1;478;10768.17;47539.25;1.02;2
10;5000;2500;21;1;280;4066.85;19486.89;1.02;220;25976.25;26138.76;1.15;3
10;5000;2500;21;2;302;-5840.67;38218.79;0.98;276;-22955.46;51574.83;0.93;2
10;5000;4500;-1;0;561;9951.77;34156.04;1.02;481;27666.07;73366.33;1.05;2
10;5000;4500;-1;1;281;-6544.11;42372.18;0.97;220;39497.45;30839.83;1.19;2
10;5000;4500;-1;2;304;10358.41;28111.23;1.04;277;-9243.67;58629.48;0.97;1
10;5000;4500;21;0;558;7378.95;37276.07;1.02;478;10514.8;74348.29;1.02;2
10;5000;4500;21;1;280;-1193;30393.62;0.99;220;23394.5;35027.81;1.12;2
