n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_level_choice,p_level_shift,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
164,69844.0,116962.0,47118.0,2.482320981365932,0.6524390243902439,425.8780487804878,1093.1028037383178,-826.6315789473684,6233.0,5609.0,0.06233,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.06430044098276158,11.205519011711857,14.635645152053147,8.125312011296417,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1500,4500,0,136,-48339.0,77536.0,125875.0,0.6159761668321748,0.3014705882352941,-355.43382352941177,1891.121951219512,-1325.0,63235.0,59659.0,0.63235,5,1,0.2,27.2,12.687001221722966,0.4664338684456973,12,0.0,0.0,0.0,0.0,False,False,False
182,63122.0,108270.0,45148.0,2.3981128732169754,0.6043956043956044,346.8241758241758,984.2727272727273,-627.0555555555555,4223.0,3599.0,0.04223,10,9,0.9,18.2,6.6452990903344595,0.36512632364475056,7,0.047384430151135894,14.947193937958797,12.176198472798708,8.039002743403103,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,3000,48,165,-26695.0,86783.0,113478.0,0.7647561641904158,0.2606060606060606,-161.78787878787878,2018.2093023255813,-930.1475409836065,41717.0,40337.0,0.41717,5,1,0.2,33.0,17.81010948871455,0.5397002875368045,12,0.0,0.0,0.0,0.0,False,False,False
174,67604.0,110430.0,42826.0,2.5785737636015504,0.632183908045977,388.5287356321839,1003.9090909090909,-669.15625,5331.0,4599.0,0.05331,10,9,0.9,17.4,6.2641839053463295,0.3600105692727776,7,0.05903496834506834,12.681298067904708,13.720992840660317,8.01534385605437,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,4000,48,151,-40874.0,84012.0,124886.0,0.6727095110740996,0.2781456953642384,-270.6887417218543,2000.2857142857142,-1145.7431192660551,53630.0,50054.0,0.5363,5,1,0.2,30.2,15.791136754521506,0.5228853229974009,12,0.0,0.0,0.0,0.0,False,False,False
165,64415.0,106308.0,41893.0,2.5376077148927028,0.6545454545454545,390.3939393939394,984.3333333333334,-734.9649122807018,5462.0,4609.0,0.05462,10,9,0.9,16.5,5.818075283115543,0.3526106232191238,7,0.03867111697585966,11.79329915781765,13.990995886051387,7.956655846251934,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,2500,0,153,-26487.0,93363.0,119850.0,0.7789987484355444,0.3137254901960784,-173.11764705882354,1945.0625,-1141.4285714285713,38907.0,36542.0,0.38907,5,2,0.4,30.6,16.523922052587878,0.5399974526989503,12,0.0,0.0,0.0,0.0,False,False,False
176,59896.0,106133.0,46237.0,2.295412764668988,0.6136363636363636,340.3181818181818,982.7129629629629,-679.9558823529412,4233.0,3609.0,0.04233,10,9,0.9,17.6,6.696267617113282,0.38046975097234553,7,0.04158875383998931,14.149775572879754,12.438359823694404,7.878877945810345,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,2500,0,166,-18709.0,92751.0,111460.0,0.8321460613673066,0.27710843373493976,-112.70481927710843,2016.3260869565217,-928.8333333333334,36126.0,34746.0,0.36126,5,2,0.4,33.2,18.170305445974208,0.547298356806452,12,0.0,0.0,0.0,0.0,False,False,False
182,66767.0,109516.0,42749.0,2.561837703805937,0.5824175824175825,366.85164835164835,1033.1698113207547,-562.4868421052631,4928.0,3368.0,0.04928,10,9,0.9,18.2,7.249827584156742,0.3983421749536672,7,0.04479757964263783,13.548498376623376,13.433222999385924,7.871517764295075,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,750,3000,0,176,-17364.0,79690.0,97054.0,0.8210892904980732,0.22727272727272727,-98.6590909090909,1992.25,-713.6323529411765,35400.0,33715.0,0.354,5,1,0.2,35.2,19.051509126575773,0.5412360547322662,14,0.0,0.0,0.0,0.0,False,False,False
174,65959.0,108785.0,42826.0,2.5401625180964835,0.632183908045977,379.07471264367814,988.9545454545455,-669.15625,5331.0,4599.0,0.05331,10,9,0.9,17.4,6.2641839053463295,0.3600105692727776,7,0.0908291514425628,12.372725567435753,14.063190770023803,7.820307458160614,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,6000,48,150,-53405.0,72944.0,126349.0,0.5773215458768965,0.26,-356.03333333333336,1870.3589743589744,-1138.2792792792793,65631.0,62055.0,0.65631,5,1,0.2,30.0,15.427248620541512,0.514241620684717,12,0.0,0.0,0.0,0.0,False,False,False
161,71646.0,119571.0,47925.0,2.494960876369327,0.6583850931677019,445.00621118012424,1128.0283018867924,-871.3636363636364,7437.0,6609.0,0.07437,10,8,0.8,16.1,5.57584074378026,0.34632551203604095,7,0.08361946235658656,9.63372327551432,16.712126287580602,7.77267549671449,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1750,6000,0,125,-42455.0,83102.0,125557.0,0.6618667218872704,0.336,-339.64,1978.6190476190477,-1512.7349397590363,62134.0,58965.0,0.62134,5,2,0.4,25.0,11.966620241321273,0.4786648096528509,10,0.0,0.0,0.0,0.0,False,False,False
182,64767.0,109915.0,45148.0,2.4345485957296003,0.6043956043956044,355.8626373626374,999.2272727272727,-627.0555555555555,4789.0,3599.0,0.04789,10,9,0.9,18.2,6.6452990903344595,0.36512632364475056,7,0.09250081059798972,13.52411776988933,13.457439745549431,7.745747387534069,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,6000,48,164,-45936.0,71782.0,117718.0,0.6097793030802426,0.22560975609756098,-280.0975609756098,1940.054054054054,-926.9133858267717,59162.0,55586.0,0.59162,5,1,0.2,32.8,17.451647486698782,0.5320624233749629,12,0.0,0.0,0.0,0.0,False,False,False
174,65149.0,107975.0,42826.0,2.521248774109186,0.632183908045977,374.41954022988506,981.5909090909091,-669.15625,5331.0,4599.0,0.05331,10,9,0.9,17.4,6.2641839053463295,0.3600105692727776,7,0.07660900397550231,12.220784093040706,14.238038956852753,7.72427129871141,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,5000,48,151,-50114.0,76235.0,126349.0,0.6033684477122889,0.26490066225165565,-331.88079470198676,1905.875,-1138.2792792792793,62625.0,59049.0,0.62625,5,1,0.2,30.2,15.791136754521506,0.5228853229974009,12,0.0,0.0,0.0,0.0,False,False,False
