n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,unger_score,top_trade_pct,np_dd,recovery_trades,first_trade,last_trade,engine,phase,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_stop_loss,p_take_profit,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
591,154631.0,474573.0,319942.0,1.4833094748423152,0.4196277495769882,261.6429780033841,1913.600806451613,-932.7755102040817,14826.0,11202.0,0.14826,10,9,0.9,59.1,10.18282868362225,0.17229828567888747,32,3.236685039025376,0.038743848258111245,10.42971806286254,56.6650024897983,2012-01-16 08:00:00,2021-06-01 16:30:00,BIASW,7,0,0,800,100,3,0,2000,200,148,91,54,115,1000,6000,307,75237.0,323346.0,248109.0,1.3032417203729005,0.1986970684039088,245.071661237785,5300.754098360656,-1008.5731707317074,26222.0,22681.0,0.26222,5,4,0.8,61.4,19.622436138257655,0.3195836504602224,29,0.07962837433709478,2.869231942643582,106.99727527679201,2.2796256913999686,True,True,True
161,28346.0,62673.0,34327.0,1.8257639758790456,0.17391304347826086,176.06211180124222,2238.3214285714284,-258.09774436090225,6720.0,5837.0,0.0672,10,8,0.8,16.1,3.8845849199110063,0.24127856645409976,8,3.2350770213702087,0.14079587948916955,4.218154761904762,38.16834826783321,2012-03-26 07:00:00,2021-05-24 16:15:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,250,4000,68,16388.0,31928.0,15540.0,2.0545688545688545,0.11764705882352941,241.0,3991.0,-259.0,6243.0,5439.0,0.06243,5,3,0.6,13.6,5.083306010855534,0.373772500798201,7,0.2435318525750549,2.625020022425116,25.904564315352697,4.594346327830927,True,True,True
553,182903.0,571753.0,388850.0,1.4703690369036904,0.5207956600361664,330.746835443038,1985.2534722222222,-1467.3584905660377,23786.0,22156.0,0.23786,10,8,0.8,55.3,9.859513172565876,0.1782913774424209,31,3.230266436585634,0.02728768800949137,7.689523248969983,71.91603199510122,2012-01-16 08:00:00,2021-06-01 17:00:00,BIASW,7,0,0,800,100,3,0,2000,200,148,91,54,115,2000,5000,306,53511.0,452223.0,398712.0,1.1342096550893879,0.3366013071895425,174.87254901960785,4390.514563106796,-1964.0985221674878,35793.0,34825.0,0.35793,5,3,0.6,61.2,19.75246820020222,0.3227527483693173,29,0.09327054250527929,1.4950129913670271,204.6804955990357,1.3922779496573268,True,False,False
561,171011.0,537629.0,366618.0,1.466455547736336,0.47950089126559714,304.83244206773617,1998.6208178438662,-1255.541095890411,20401.0,16891.0,0.20401,10,9,0.9,56.1,9.873702446397704,0.1760018261389965,29,3.214687874097709,0.07491330967013818,8.382481250919072,66.92529135552684,2012-01-16 08:00:00,2021-06-01 17:00:00,BIASW,7,0,0,800,100,3,0,2000,200,148,91,54,115,1500,0,283,74088.0,397427.0,323339.0,1.229134128577128,0.23674911660777384,261.79505300353355,5931.746268656716,-1496.9398148148148,41955.0,36158.0,0.41955,5,4,0.8,56.6,16.788091017146648,0.296609381928386,29,0.2211019328366267,1.76589202717197,160.2589488176223,1.925187032018506,True,False,False
548,172598.0,551696.0,379098.0,1.4552859682720563,0.49452554744525545,314.95985401459853,2035.7785977859778,-1368.5848375451264,22109.0,18996.0,0.22109,10,9,0.9,54.8,9.836666101886351,0.17950120623880203,28,3.1906120811941934,0.057885954646056156,7.80668506038265,70.19624792871296,2012-01-16 08:00:00,2021-06-01 17:00:00,BIASW,7,0,0,800,100,3,0,2000,200,148,91,54,115,1750,10000,293,70118.0,447881.0,377763.0,1.1856137313606678,0.2593856655290102,239.31058020477815,5893.171052631579,-1740.8433179723502,56888.0,56113.0,0.56888,5,3,0.6,58.6,18.380424369420854,0.31365911893209647,29,0.1424883767363587,1.2325622275348052,237.716192703728,1.5113147521105876,True,False,False
160,31905.0,101695.0,69790.0,1.457157185843244,0.6875,199.40625,924.5,-1395.8,8937.0,8322.0,0.08937,10,8,0.8,16.0,3.924283374069717,0.2452677108793573,8,3.1772123499799303,0.031060962231625137,3.569989929506546,44.81805359661495,2012-03-26 07:00:00,2021-05-24 09:30:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,2250,1000,68,-17112.0,41622.0,58734.0,0.7086525692103381,0.6176470588235294,-251.64705882352942,991.0,-2259.0,20727.0,17826.0,0.20727,5,1,0.2,13.6,5.083306010855534,0.373772500798201,7,0.0,0.0,0.0,0.0,False,False,False
161,19261.0,54618.0,35357.0,1.5447577565969963,0.7018633540372671,119.63354037267081,483.34513274336285,-736.6041666666666,3271.0,3036.0,0.03271,10,9,0.9,16.1,3.8845849199110063,0.24127856645409976,8,3.150765183660024,0.026011110534240173,5.888413329257108,27.341830642230413,2012-03-26 07:00:00,2021-05-24 08:15:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,750,500,68,2138.0,21113.0,18975.0,1.1126745718050066,0.6323529411764706,31.441176470588236,491.0,-759.0,3731.0,3171.0,0.03731,5,4,0.8,13.6,5.083306010855534,0.373772500798201,7,0.2296538821328344,0.5730367193781828,118.66604303086997,0.7753352304409187,False,False,False
560,166880.0,549170.0,382290.0,1.4365272437155039,0.5,298.0,1961.3214285714287,-1365.3214285714287,20561.0,18931.0,0.20561,10,9,0.9,56.0,9.9498743710662,0.17767632805475356,31,3.130383186001416,0.02990771812080537,8.116336754048927,68.99664429530202,2012-01-16 08:00:00,2021-06-01 17:00:00,BIASW,7,0,0,800,100,3,0,2000,200,148,91,54,115,1750,5000,307,59922.0,425626.0,365704.0,1.1638538271388883,0.3127035830618892,195.185667752443,4433.604166666667,-1733.1943127962086,31998.0,30575.0,0.31998,5,3,0.6,61.4,19.622436138257655,0.3195836504602224,29,0.08329161242949168,1.8726795424714044,163.93621708220687,1.6435762705285972,True,False,False
160,29145.0,100178.0,71033.0,1.4103022538819985,0.675,182.15625,927.574074074074,-1366.0192307692307,7687.0,7072.0,0.07687,10,6,0.6,16.0,3.924283374069717,0.2452677108793573,8,3.1294570186282433,0.03400240178418253,3.791466111617016,42.20003431120261,2012-03-26 07:00:00,2021-05-24 09:30:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,2000,1000,68,-13612.0,40631.0,54243.0,0.7490551776266062,0.6029411764705882,-200.1764705882353,991.0,-2009.0,17477.0,14576.0,0.17477,5,1,0.2,13.6,5.083306010855534,0.373772500798201,7,0.0,0.0,0.0,0.0,False,False,False
562,165427.0,533554.0,368127.0,1.449374808150448,0.4786476868327402,294.3540925266904,1983.4721189591078,-1256.4061433447098,20401.0,16891.0,0.20401,10,9,0.9,56.2,9.96794863550169,0.17736563408365996,29,3.1041857799581614,0.06039521964370991,8.108769177981472,69.307682542753,2012-01-16 08:00:00,2021-06-01 17:00:00,BIASW,7,0,0,800,100,3,0,2000,200,148,91,54,115,1500,10000,293,110638.0,441522.0,330884.0,1.334370957797899,0.24573378839590443,377.60409556313994,6132.25,-1497.212669683258,36418.0,35733.0,0.36418,5,4,0.8,58.6,18.380424369420854,0.31365911893209647,29,0.09030351235561018,3.038003185238069,96.44492850557674,2.980451128679887,True,False,False
