n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
449,70754.0,260833.0,190079.0,1.372234702413207,0.16258351893095768,157.58129175946547,3573.054794520548,-505.52925531914894,24169.0,23165.0,0.24169,10,7,0.7,44.9,8.178630692236935,0.18215213123022125,26,0.15025298923029087,2.927469071951674,153.37480566469742,1.5267877615485677,2012-01-13 02:00:00,2021-06-01 01:45:00,TF_M,5,0,54,9,-48,17,13,5,-1,500,10000,920,211,56226.0,155571.0,99345.0,1.5659670844028386,0.07582938388625593,266.4739336492891,9723.1875,-509.46153846153845,23853.0,22396.0,0.23853,5,4,0.8,42.2,19.903768487399567,0.4716532816919328,16,0.1776935937110945,2.3571877751226262,89.51344573684771,2.5988821338307595,True,True,True
661,71736.0,328635.0,256899.0,1.279238144173391,0.4236006051437216,108.52647503782148,1173.6964285714287,-674.2755905511812,11474.0,9239.0,0.11474,10,8,0.8,66.1,17.29421868717983,0.2616371964777584,25,0.10442455670792908,6.2520481087676485,105.72535407605665,1.526095209793299,2012-01-13 02:00:00,2021-06-01 08:45:00,TF_M,5,0,54,9,-48,17,13,5,-1,750,7500,184,215,43045.0,180368.0,137323.0,1.313458051455328,0.15348837209302327,200.2093023255814,5465.69696969697,-754.521978021978,25666.0,23384.0,0.25666,5,4,0.8,43.0,19.193748982416125,0.44636625540502617,17,0.17402718085724242,1.6771214836749007,128.19584156115693,1.8823852534991659,True,False,False
350,42445.0,202584.0,160139.0,1.2650509869550828,0.5685714285714286,121.27142857142857,1018.0100502512563,-1060.523178807947,14361.0,11671.0,0.14361,10,9,0.9,35.0,9.252026804976301,0.2643436229993229,12,0.0712922605725056,2.9555741243645985,118.42030863470373,1.5242966920105032,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,1,12,21,18,17,-1,2500,1500,184,179,-1631.0,163301.0,164932.0,0.990111076079839,0.6201117318435754,-9.111731843575418,1471.1801801801803,-2425.470588235294,33802.0,32548.0,0.33802,5,3,0.6,35.8,12.859237924542807,0.35919659007102817,19,0.0,0.0,0.0,0.0,False,False,False
286,42711.0,244218.0,201507.0,1.2119578972442644,0.4825174825174825,149.33916083916083,1769.695652173913,-1361.5337837837837,21782.0,16662.0,0.21782,10,7,0.7,28.6,7.696752561957543,0.2691172224460679,12,0.09344197045257661,1.960839225048205,145.85591533796915,1.5241516635828087,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,1,12,21,18,17,-1,1750,4000,368,171,24966.0,225492.0,200526.0,1.1245025582717454,0.3333333333333333,146.0,3956.0,-1759.0,37293.0,33288.0,0.37293,5,3,0.6,34.2,11.391224692718513,0.3330767454011261,19,0.15985740607225826,0.6694553937736304,255.43150684931507,1.1387871287995168,True,False,False
382,32402.0,127678.0,95276.0,1.3400856459129267,0.5575916230366492,84.82198952879581,599.4272300469484,-563.7633136094674,7037.0,6331.0,0.07037,10,7,0.7,38.2,9.6,0.2513089005235602,15,0.04601567804456515,4.60451897115248,82.96197765570027,1.5230635823476755,2012-01-10 10:30:00,2021-06-02 05:45:00,TF_M,5,0,47,7,12,39,9,5,4,1750,1500,48,170,-760.0,111511.0,112271.0,0.9932306650871552,0.5058823529411764,-4.470588235294118,1296.639534883721,-1336.5595238095239,17916.0,16475.0,0.17916,5,2,0.4,34.0,9.838699100999074,0.289373502970561,19,0.0,0.0,0.0,0.0,False,False,False
264,44064.0,244248.0,200184.0,1.2201174919074451,0.42803030303030304,166.9090909090909,2161.4867256637167,-1325.7218543046358,27256.0,26657.0,0.27256,10,6,0.6,26.4,8.039900496896712,0.3045416854885118,12,0.06867283950617284,1.6166715585559144,163.29847494553377,1.5228330232519949,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,1,12,21,18,17,-1,1500,3000,644,176,17916.0,188433.0,170517.0,1.105068702827284,0.35795454545454547,101.79545454545455,2991.0,-1509.0,25289.0,24279.0,0.25289,5,4,0.8,35.2,12.351518125315609,0.35089540128737523,19,0.16694574681848626,0.7084503143659299,248.42956016968074,0.9641973031115904,True,False,False
382,26432.0,69490.0,43058.0,1.613869664173905,0.44502617801047123,69.19371727748691,408.7647058823529,-203.10377358490567,4694.0,3185.0,0.04694,10,7,0.7,38.2,9.6,0.2513089005235602,15,0.1888241525423729,5.631018321261185,67.83852905569007,1.521242586425958,2012-01-10 10:30:00,2021-06-01 16:30:00,TF_M,5,0,47,7,12,39,9,5,4,250,5000,12,170,20570.0,54441.0,33871.0,1.6073041835198252,0.21176470588235294,121.0,1512.25,-252.76865671641792,6823.0,3652.0,0.06823,5,3,0.6,34.0,9.838699100999074,0.289373502970561,19,0.24263490520175013,3.01480287263667,56.388429752066116,2.206485304575764,True,True,True
398,32658.0,107335.0,74677.0,1.437323406135758,0.2638190954773869,82.05527638190955,1022.2380952380952,-254.8703071672355,6613.0,6228.0,0.06613,10,9,0.9,39.8,10.925200226998129,0.2745025182662847,12,0.04565496968583502,4.938454559201572,80.59201420785107,1.5198845697125032,2012-01-10 10:30:00,2021-06-01 16:30:00,TF_M,5,0,47,1,12,21,18,17,-1,250,1500,184,189,17549.0,56658.0,39109.0,1.4487202434222302,0.20105820105820105,92.85185185185185,1491.0,-259.0,6456.0,5180.0,0.06456,5,5,1.0,37.8,13.362634470792052,0.3535088484336522,22,0.08496210610291184,2.7182465923172243,69.5301156761069,1.7406528423915706,True,True,True
320,42085.0,141382.0,99297.0,1.423829521536401,0.896875,131.515625,492.62020905923345,-3009.0,16988.0,16153.0,0.16988,10,8,0.8,32.0,10.12916580968048,0.316536431552515,15,0.017607223476297968,2.4773369437249824,129.17096352619697,1.5198809852131143,2012-01-10 10:30:00,2021-06-01 17:00:00,TF_M,5,0,47,7,12,39,9,5,4,3000,500,0,169,30584.0,75719.0,45135.0,1.6776116096155977,0.9112426035502958,180.97041420118344,491.6818181818182,-3009.0,9732.0,6572.0,0.09732,5,4,0.8,33.8,9.987992791347018,0.2955027453061248,19,0.019487313628040806,3.14262227702425,53.77674601098613,2.7631845055282414,True,True,True
271,40686.0,265472.0,224786.0,1.1809988166522827,0.5055350553505535,150.1328413284133,1937.7518248175184,-1677.5074626865671,22151.0,19446.0,0.22151,10,8,0.8,27.1,6.3,0.23247232472324722,12,0.1880499434694981,1.8367568055618257,147.54266823968933,1.5194359233103314,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,1,12,21,18,17,-1,2500,7500,368,153,4468.0,272684.0,268216.0,1.0166582157663973,0.2875816993464052,29.202614379084967,6197.363636363636,-2460.697247706422,57049.0,52399.0,0.57049,5,3,0.6,30.6,11.038115781237304,0.36072273794893145,16,1.8153536257833482,0.07831863836351206,1953.5579677708147,0.18416244417562835,False,False,False
