n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_long_offset_ticks,p_short_offset_ticks,p_direction,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
160,27760.0,52772.0,25012.0,2.1098672637134177,0.60625,173.5,544.0412371134021,-397.015873015873,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.07172190201729106,4.356559949780289,36.726224783861674,3.2738965346518496,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,2000,12,93,12553.0,56804.0,44251.0,1.2836772050349146,0.5806451612903226,134.9784946236559,1051.9259259259259,-1134.6410256410256,16726.0,15750.0,0.16726,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.15860750418226718,0.7505081908406075,123.91603600732893,1.5720700312400722,True,False,False
160,31390.0,67791.0,36401.0,1.8623389467322327,0.6,196.1875,706.15625,-568.765625,8148.0,7703.0,0.08148,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.07935648295635553,3.8524791359842907,41.5316979929914,3.27377763562282,2012-03-05 17:30:00,2021-05-24 06:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1000,2500,24,93,16598.0,64745.0,48147.0,1.3447359129333085,0.43010752688172044,178.4731182795699,1618.625,-908.433962264151,11610.0,11090.0,0.1161,5,5,1.0,18.6,6.887670143089026,0.3703048464026358,7,0.15007832268948065,1.4296296296296296,65.0518134715026,2.4949397163165052,True,False,False
160,34565.0,69787.0,35222.0,1.981346885469309,0.6375,216.03125,684.1862745098039,-607.2758620689655,9924.0,9255.0,0.09924,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.057601620135975695,3.4829705763804917,45.93779835093302,3.2664540664617,2012-03-05 17:30:00,2021-05-24 06:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2000,2000,24,93,28623.0,78483.0,49860.0,1.5740673886883274,0.5698924731182796,307.7741935483871,1480.811320754717,-1246.5,14555.0,14035.0,0.14555,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.06955944520141145,1.9665407076605976,47.29116444817105,3.842637810666039,True,False,False
160,27620.0,52488.0,24868.0,2.1106643075438316,0.6125,172.625,535.5918367346939,-401.0967741935484,6372.0,4203.0,0.06372,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.05398262128892107,4.33458882611425,36.912382331643734,3.2573855290736344,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,1500,12,93,12378.0,53746.0,41368.0,1.2992167859214852,0.6021505376344086,133.09677419354838,959.75,-1118.054054054054,12726.0,11750.0,0.12726,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.1204556471158507,0.9726544082979727,95.61463887542415,1.7771534337500903,True,False,False
160,27310.0,52322.0,25012.0,2.0918758995682074,0.60625,170.6875,539.4020618556701,-397.015873015873,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.07931160746979128,4.285938480853735,37.33138044672281,3.2208254452933,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,0,12,93,10263.0,55723.0,45460.0,1.2257589089309282,0.5698924731182796,110.35483870967742,1051.377358490566,-1136.5,21227.0,19667.0,0.21227,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.29289681379713534,0.4834880105525981,192.35223618824904,1.1409074737243505,True,False,False
160,33435.0,77615.0,44180.0,1.7567904028972385,0.6875,208.96875,705.5909090909091,-883.6,9552.0,8464.0,0.09552,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.029639599222371766,3.500314070351759,45.71018393898609,3.2206055919059757,2012-03-05 17:30:00,2021-05-24 03:15:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,1000,0,93,9318.0,65049.0,55731.0,1.1671959950476396,0.7419354838709677,100.19354838709677,942.7391304347826,-2322.125,14371.0,12081.0,0.14371,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.10635329469843315,0.6483891169716791,143.43238892466195,1.258924303112397,False,False,False
160,27260.0,52772.0,25512.0,2.06851677641894,0.60625,170.375,544.0412371134021,-404.95238095238096,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.07303741746148203,4.278091650973007,37.39985326485694,3.2149286575867944,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,3000,2000,12,93,11558.0,56804.0,45246.0,1.2554479954029085,0.5806451612903226,124.27956989247312,1051.9259259259259,-1160.1538461538462,18201.0,17225.0,0.18201,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.172261636961412,0.6350200538431954,146.4520678318048,1.3875718205740162,True,False,False
160,27240.0,52772.0,25532.0,2.066896443678521,0.60625,170.25,544.0412371134021,-405.26984126984127,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.07309104258443465,4.274952919020715,37.4273127753304,3.2125699425041923,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1750,2000,12,93,14908.0,54813.0,39905.0,1.3735872697656935,0.5698924731182796,160.30107526881721,1034.2075471698113,-997.625,13335.0,12815.0,0.13335,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.13355245505768715,1.117960254968129,83.18721491816474,2.0909482298787623,True,False,False
160,34260.0,76624.0,42364.0,1.8087055046737797,0.68125,214.125,702.9724770642201,-830.6666666666666,10082.0,9083.0,0.10082,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.028925861062463514,3.398135290616941,47.08464681844717,3.212161585953124,2012-03-05 17:30:00,2021-05-24 03:15:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1750,1000,0,93,7523.0,59067.0,51544.0,1.145952972217911,0.6666666666666666,80.89247311827957,952.6935483870968,-1662.7096774193549,11123.0,10095.0,0.11123,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.13172936328592316,0.6763463094488897,137.50352253090523,1.1553152322220464,False,False,False
160,27160.0,53672.0,26512.0,2.024441762220881,0.60625,169.75,553.319587628866,-420.8253968253968,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.09171575846833578,4.26239799121155,37.53755522827688,3.2031350821737834,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,4000,2500,12,93,11783.0,59304.0,47521.0,1.2479535363313061,0.5806451612903226,126.6989247311828,1098.2222222222222,-1218.4871794871794,22722.0,21162.0,0.22722,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.21140626326062972,0.518572308775636,179.33853857251972,1.2660562632125825,True,False,False
160,27140.0,53672.0,26532.0,2.0229157244082616,0.60625,169.625,553.319587628866,-421.14285714285717,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.09178334561532793,4.2592592592592595,37.56521739130435,3.2007763670911813,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2000,2500,12,93,16173.0,59058.0,42885.0,1.377124868835257,0.5698924731182796,173.90322580645162,1114.301886792453,-1072.125,18727.0,17167.0,0.18727,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.15402213565819575,0.8636193730976665,107.68632906696345,1.9141540535532926,True,False,False
160,27120.0,52488.0,25368.0,2.0690633869441815,0.6125,169.5,535.5918367346939,-409.16129032258067,6372.0,4203.0,0.06372,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.05497787610619469,4.256120527306968,37.5929203539823,3.1984176520085796,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,3000,1500,12,93,11883.0,53746.0,41863.0,1.2838544777010725,0.6021505376344086,127.7741935483871,959.75,-1131.4324324324325,13701.0,12725.0,0.13701,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.12547336531178996,0.8673089555506898,107.22822519565766,1.644259539088656,True,False,False
160,27100.0,52488.0,25388.0,2.0674334331180084,0.6125,169.375,535.5918367346939,-409.48387096774195,6372.0,4203.0,0.06372,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.05501845018450185,4.2529817953546765,37.62066420664207,3.196058936925977,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1750,1500,12,93,14483.0,52255.0,37772.0,1.383432171979244,0.5913978494623656,155.7311827956989,950.0909090909091,-994.0,10085.0,9565.0,0.10085,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.10294828419526342,1.4360932077342587,64.75902782572672,2.3358286745655055,True,False,False
160,26045.0,60658.0,34613.0,1.7524629474474909,0.58125,162.78125,652.236559139785,-516.6119402985074,5898.0,5590.0,0.05898,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.07644461508926857,4.415903696168193,36.232674217700136,3.1926796910522794,2012-03-05 17:30:00,2021-05-24 06:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,750,2000,24,93,14538.0,54503.0,39965.0,1.3637682972601026,0.40860215053763443,156.32258064516128,1434.2894736842106,-726.6363636363636,8393.0,7204.0,0.08393,5,5,1.0,18.6,6.887670143089026,0.3703048464026358,7,0.13695143761177603,1.7321577505063743,53.690260008254235,2.570197276654605,True,False,False
160,27005.0,53672.0,26667.0,2.0126748415644804,0.60625,168.78125,553.319587628866,-423.2857142857143,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.09224217737456027,4.238072818581293,37.7530087020922,3.1848550402836167,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2250,2500,12,93,15193.0,59058.0,43865.0,1.3463581443063946,0.5698924731182796,163.36559139784947,1114.301886792453,-1096.625,18457.0,16897.0,0.18457,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.16395708549990126,0.8231565259793032,112.97972750608832,1.8112708085556282,True,False,False
160,26810.0,52322.0,25512.0,2.0508780181875195,0.60625,167.5625,539.4020618556701,-404.95238095238096,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.08079074972025364,4.207470182046453,38.02760164117866,3.1618575682282453,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,3000,0,12,93,9268.0,55723.0,46455.0,1.199504897212356,0.5698924731182796,99.65591397849462,1051.377358490566,-1161.375,21242.0,19682.0,0.21242,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.3243418213206733,0.436305432633462,213.15343116098404,1.0299324199744253,True,False,False
160,26790.0,52322.0,25532.0,2.0492715024283252,0.60625,167.4375,539.4020618556701,-405.26984126984127,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.08085106382978724,4.204331450094162,38.05599104143337,3.159498853145643,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1750,0,12,93,11348.0,53012.0,41664.0,1.2723694316436251,0.5591397849462365,122.02150537634408,1019.4615384615385,-1016.1951219512196,18517.0,16957.0,0.18517,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.26489249206908705,0.6128422530647513,151.75193866760662,1.3506860670981142,True,False,False
160,24975.0,63290.0,38315.0,1.65183348558006,0.46875,156.09375,843.8666666666667,-450.7647058823529,5640.0,5380.0,0.0564,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.09973973973973974,4.428191489361702,36.132132132132135,3.1307566873839754,2012-03-05 17:30:00,2021-05-24 12:00:00,RHL,6,80,80,1,40,46,46,6,2,1,4,500,2500,48,93,10833.0,46358.0,35525.0,1.3049401829697396,0.24731182795698925,116.48387096774194,2015.5652173913043,-507.5,8283.0,7635.0,0.08283,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.22994553678574725,1.3078594712060847,71.10855718637497,1.9278592279012123,True,False,False
245,49030.0,102584.0,53554.0,1.9155245173096314,0.5877551020408164,200.12244897959184,712.3888888888889,-530.2376237623762,9276.0,8026.0,0.09276,10,8,0.8,24.5,7.8390050389064045,0.31995938934311857,10,0.12219049561492963,5.285683484260457,46.35162145625127,3.129815907628655,2012-01-23 18:15:00,2021-05-27 23:00:00,RHL,6,5,80,1,53,32,1,33,2,1,4,1000,6000,0,72,-22948.0,32441.0,55389.0,0.585693910343209,0.2222222222222222,-318.72222222222223,2027.5625,-989.0892857142857,23706.0,23172.0,0.23706,5,1,0.2,14.4,5.4258639865002145,0.376796110173626,7,0.0,0.0,0.0,0.0,False,False,False
245,48570.0,102124.0,53554.0,1.906935056204952,0.5877551020408164,198.24489795918367,709.1944444444445,-530.2376237623762,9276.0,8026.0,0.09276,10,8,0.8,24.5,7.8390050389064045,0.31995938934311857,10,0.1138768787317274,5.236093143596378,46.79061148857319,3.100451940312539,2012-01-23 18:15:00,2021-05-27 23:00:00,RHL,6,5,80,1,53,32,1,33,2,1,4,1000,0,0,72,-21913.0,33476.0,55389.0,0.6043799310332376,0.2222222222222222,-304.34722222222223,2092.25,-989.0892857142857,22671.0,22137.0,0.22671,5,1,0.2,14.4,5.4258639865002145,0.376796110173626,7,0.0,0.0,0.0,0.0,False,False,False
160,30520.0,64884.0,34364.0,1.8881387498544988,0.61875,190.75,655.3939393939394,-563.344262295082,8601.0,7273.0,0.08601,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.048853211009174315,3.5484246017904897,45.09043250327654,3.098085702242369,2012-03-05 17:30:00,2021-05-24 06:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1250,1500,24,93,12488.0,60168.0,47680.0,1.2619127516778523,0.5161290322580645,134.27956989247312,1253.5,-1059.5555555555557,10443.0,9635.0,0.10443,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.11939461883408072,1.1958249545149862,77.7705797565663,1.9792500162065985,True,False,False
160,26260.0,52772.0,26512.0,1.9904948702474352,0.60625,164.125,544.0412371134021,-420.8253968253968,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.07581873571972582,4.121155053358443,38.82406702208682,3.0969929034566848,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,4000,2000,12,93,10738.0,57050.0,46312.0,1.2318621523579203,0.5913978494623656,115.46236559139786,1037.2727272727273,-1218.7368421052631,21201.0,20225.0,0.21201,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.1854162786366176,0.5064855431347578,183.61827155894952,1.1944435586062463,True,False,False
160,33335.0,68557.0,35222.0,1.9464255294986088,0.6375,208.34375,672.1274509803922,-607.2758620689655,10277.0,9170.0,0.10277,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.04472776361181941,3.243650870876715,49.327133643317836,3.095641450507161,2012-03-05 17:30:00,2021-05-24 06:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2000,1500,24,93,21328.0,67170.0,45842.0,1.4652502072335414,0.5913978494623656,229.33333333333334,1221.2727272727273,-1206.3684210526317,12055.0,11535.0,0.12055,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.06990810202550637,1.7692243882206553,52.565406976744185,3.1462043763884857,True,False,False
160,26240.0,52772.0,26532.0,1.9889944218302427,0.60625,164.0,544.0412371134021,-421.14285714285717,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.07587652439024391,4.118016321406152,38.853658536585364,3.0946341883740827,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2000,2000,12,93,15928.0,56804.0,40876.0,1.3896663078579117,0.5806451612903226,171.2688172043011,1051.9259259259259,-1048.1025641025642,14835.0,14315.0,0.14835,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.125,1.0736771149309066,86.61821948769462,2.11805814308463,True,False,False
160,26160.0,53672.0,27512.0,1.950857807502181,0.60625,163.5,553.319587628866,-436.6984126984127,6372.0,5163.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.0952217125382263,4.105461393596987,38.972477064220186,3.085199328043674,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,5000,2500,12,93,8548.0,59304.0,50756.0,1.1684135865710459,0.5806451612903226,91.91397849462365,1098.2222222222222,-1301.4358974358975,25132.0,23572.0,0.25132,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.291413196069256,0.3401241445169505,273.42957416939635,0.8733159540636611,True,False,False
160,26120.0,52488.0,26368.0,1.9905946601941749,0.6125,163.25,535.5918367346939,-425.2903225806452,6372.0,4203.0,0.06372,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.05708269525267994,4.099183929692404,39.03215926493109,3.080481897878469,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,4000,1500,12,93,12063.0,53992.0,41929.0,1.2877006367907653,0.6129032258064516,129.70967741935485,947.2280701754386,-1164.6944444444443,15701.0,14725.0,0.15701,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.1236010942551604,0.7682950130564932,121.04725192738124,1.5592368035862318,True,False,False
160,26105.0,52772.0,26667.0,1.9789252634342072,0.60625,163.15625,544.0412371134021,-423.2857142857143,6372.0,4203.0,0.06372,10,10,1.0,16.0,5.796550698475776,0.362284418654736,8,0.0762689140011492,4.096829880728186,39.05458724382302,3.078712861566518,2012-03-05 17:30:00,2021-05-24 03:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2250,2000,12,93,14148.0,56804.0,42656.0,1.3316766691672919,0.5806451612903226,152.1290322580645,1051.9259259259259,-1093.7435897435898,15726.0,14750.0,0.15726,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.14072660446706248,0.8996566196108355,103.37277353689568,1.8272851364795386,True,False,False
