n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_level_source,p_n_sess,p_lev_include_sess0,p_breakout_offset_ticks,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
142,93247.0,191449.0,98202.0,1.949542779169467,0.4507042253521127,656.669014084507,2991.390625,-1259.0,10455.0,8180.0,0.10455,10,9,0.9,14.2,5.491812087098393,0.3867473300773516,5,0.032344204103081066,8.918890483022476,15.921262882451984,9.673594086787126,2012-02-03 12:00:00,2021-05-04 15:45:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,1250,3000,0,104,5064.0,95712.0,90648.0,1.055864442679375,0.3076923076923077,48.69230769230769,2991.0,-1259.0,17924.0,15574.0,0.17924,5,3,0.6,20.8,9.19565114605812,0.44209861279125573,6,0.5906398104265402,0.28252622182548537,368.1074249605055,0.5478305469127278,False,False,False
163,120483.0,227487.0,107004.0,2.1259672535606144,0.3496932515337423,739.1595092024539,3991.0,-1009.4716981132076,13684.0,11099.0,0.13684,10,9,0.9,16.3,6.708949247087803,0.41159197834894495,8,0.03312500518745383,8.804662379421222,18.51291883502237,9.51776527971618,2012-01-12 11:15:00,2021-06-01 15:45:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,1000,4000,0,128,-9152.0,95784.0,104936.0,0.9127849355797819,0.1875,-71.5,3991.0,-1009.0,27837.0,25675.0,0.27837,5,2,0.4,25.6,6.2801273872430325,0.24531747606418094,18,0.0,0.0,0.0,0.0,False,False,False
183,109388.0,239280.0,129892.0,1.8421457826502017,0.4371584699453552,597.7486338797814,2991.0,-1261.0873786407767,9139.0,7554.0,0.09139,10,9,0.9,18.3,6.2136945531623935,0.3395461504460324,9,0.027343035799173583,11.969362074625232,15.289035360368596,9.418301916689131,2012-01-12 11:15:00,2021-05-31 11:00:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,1250,3000,0,128,8848.0,119640.0,110792.0,1.0798613618311792,0.3125,69.125,2991.0,-1259.0,17895.0,14635.0,0.17895,5,3,0.6,25.6,6.2801273872430325,0.24531747606418094,18,0.33804249547920434,0.4944397876501816,258.878842676311,0.7783459099357147,False,False,False
167,109997.0,243451.0,133454.0,1.824231570428762,0.3652694610778443,658.6646706586827,3991.0,-1259.0,11398.0,9858.0,0.11398,10,9,0.9,16.7,4.796873982084583,0.28723796299907683,10,0.036282807712937626,9.650552728548869,17.30470831022664,9.292945663442948,2012-01-10 13:15:00,2021-06-01 18:45:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,1250,4000,0,129,-4911.0,119730.0,124641.0,0.9605988398681012,0.23255813953488372,-38.06976744186046,3991.0,-1259.0,20273.0,18407.0,0.20273,5,4,0.8,25.8,6.734983296193095,0.2610458641935308,15,0.0,0.0,0.0,0.0,False,False,False
162,120977.0,254988.0,134011.0,1.9027393273686488,0.7901234567901234,746.7716049382716,1992.09375,-3941.5,14774.0,12135.0,0.14774,10,9,0.9,16.2,6.764613810115105,0.417568753710809,7,0.01761491853823454,8.188506836334101,19.78382667779826,9.25426866195737,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,4000,2000,0,129,40839.0,185163.0,144324.0,1.2829674898145838,0.7209302325581395,316.5813953488372,1991.0,-4009.0,31577.0,28549.0,0.31577,5,3,0.6,25.8,7.025667228100119,0.2723126832596945,15,0.048752418031783346,1.2933147544098553,99.7437008741644,2.6835105687379555,False,False,False
191,120836.0,254290.0,133454.0,1.9054505672366508,0.44502617801047123,632.6492146596859,2991.6470588235293,-1259.0,10745.0,8340.0,0.10745,10,9,0.9,19.1,5.3188344587888805,0.2784730083135539,9,0.025207719553775366,11.245788738948349,16.9841355225264,9.193123998958587,2012-01-10 13:15:00,2021-06-01 18:45:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,1250,3000,0,132,3812.0,119640.0,115828.0,1.0329108678385193,0.30303030303030304,28.87878787878788,2991.0,-1259.0,12701.0,10385.0,0.12701,5,2,0.4,26.4,7.1442284397967,0.2706147136286629,15,0.7846274921301154,0.3001338477285253,439.803777544596,0.38597871631840236,False,False,False
158,82603.0,161539.0,78936.0,2.046455356237965,0.34177215189873417,522.8037974683544,2991.462962962963,-759.0,7358.0,5403.0,0.07358,10,9,0.9,15.8,5.035871324805669,0.31872603321554865,6,0.03651199108991199,11.226284316390323,14.074113530985557,9.180412516477205,2012-02-03 12:00:00,2021-05-04 15:45:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,750,3000,0,105,14055.0,74775.0,60720.0,1.2314723320158103,0.23809523809523808,133.85714285714286,2991.0,-759.0,10924.0,8574.0,0.10924,5,2,0.4,21.0,9.338094023943002,0.4446711439972858,6,0.2128068303094984,1.286616623947272,81.6093916755603,1.9290969740740345,False,False,False
187,122582.0,272180.0,149598.0,1.819409350392385,0.6684491978609626,655.5187165775401,2177.44,-2412.8709677419356,11589.0,9694.0,0.11589,10,10,1.0,18.7,5.1,0.2727272727272727,14,0.0203210911879395,10.577444128052463,17.679129072783933,9.172030063296628,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,4000,2500,920,126,73366.0,221699.0,148333.0,1.4946033586592329,0.7063492063492064,582.2698412698413,2491.0,-4009.0,34786.0,31761.0,0.34786,5,3,0.6,25.2,6.368673331236264,0.2527251321919152,17,0.03395305727448682,2.1090668659805667,59.742060354932796,4.702463190635301,True,False,False
138,114588.0,266572.0,151984.0,1.7539477839772608,0.7753623188405797,830.3478260869565,2491.3271028037384,-4902.709677419355,18921.0,15027.0,0.18921,10,9,0.9,13.8,7.345747068882782,0.5323005122378828,6,0.022044193109226097,6.056128111622007,22.786836317939052,9.092668644630711,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,5000,2500,0,126,73866.0,234154.0,160288.0,1.4608330005989218,0.746031746031746,586.2380952380952,2491.0,-5009.0,35786.0,32761.0,0.35786,5,3,0.6,25.2,6.368673331236264,0.2527251321919152,17,0.03372322854899412,2.06410328061253,61.0434570709122,4.667892141174948,True,False,False
149,126489.0,276536.0,150047.0,1.8429958612967936,0.7449664429530202,848.9194630872483,2491.3153153153153,-3948.6052631578946,20267.0,19072.0,0.20267,10,8,0.8,14.9,7.422263805605403,0.49813851044331564,6,0.01997011597846453,6.241130902452262,23.873878360964195,8.982042623569505,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,4000,2500,0,126,73366.0,221699.0,148333.0,1.4946033586592329,0.7063492063492064,582.2698412698413,2491.0,-4009.0,34786.0,31761.0,0.34786,5,3,0.6,25.2,6.368673331236264,0.2527251321919152,17,0.03395305727448682,2.1090668659805667,59.742060354932796,4.702463190635301,True,False,False
