n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_direction,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,p_trailing_stop,p_breakeven,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
560,113038.69406220698,232486.32246452896,119447.628402322,1.9463452357670212,0.5392857142857143,201.8548108253696,769.8222598163211,-462.97530388496904,12843.63845581119,10361.578493884124,0.1284363845581119,10,10,1.0,56.0,9.979979959899719,0.17821392785535212,28,0.06418148357351508,8.801142639690381,63.6281018187998,2.6828625500092462,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,14,0,0,53,11,9,46,-1,18,4,2500,10000,0,2000,1000,269,35610.16593583203,193698.78982871666,158088.62389288459,1.2252544494280644,0.3382899628252788,132.37979901796294,2128.5581299858973,-888.1383364768797,26916.423314440508,23863.42233250128,0.2691642331444051,5,3,0.6,53.8,15.57433786714543,0.289485833961811,31,0.2058537493696476,1.3229902621098764,203.32727133683102,1.2153920664929125,True,False,False
564,96569.8429764587,192965.5734776964,96395.7305012377,2.001806226005194,0.46099290780141844,171.22312584478493,742.1752826065245,-317.0912187540714,10114.062245445653,8016.650665545887,0.10114062245445653,10,10,1.0,56.4,10.248902380255165,0.18171812730948875,28,0.07512688084098591,9.548076789812516,59.06948722927841,2.5645015439822125,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,14,0,0,53,11,9,46,-1,18,4,2500,10000,0,2000,500,273,3784.293911862558,111634.56395331572,107850.27004145316,1.0350884046039759,0.1978021978021978,13.861882461035012,2067.3067398762173,-492.4669864906537,23960.701528083562,19266.468418869532,0.2396070152808356,5,3,0.6,54.6,15.49967741599805,0.28387687575088005,32,2.640122631247375,0.1579375256365975,1728.531575378436,0.1348887723348036,False,False,False
473,83761.56349343807,172922.79399015094,89161.23049671287,1.9394392947114623,0.47357293868921774,177.0857579142454,771.9767588846024,-358.0772309104935,11439.766173433156,8933.466935468081,0.11439766173433157,10,10,1.0,47.3,7.642643521714199,0.16157808713983507,26,0.07361371663606839,7.3219646471410895,64.60014801965563,2.493896440684469,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,5,0,1,53,11,-9,-10,1,5,4,2000,10000,0,2000,500,208,-12575.7479263567,69358.6223173334,81934.3702436901,0.8465143762141117,0.18269230769230768,-60.4603265690226,1825.226903087721,-481.9668837864123,24689.831882097416,22499.460250276876,0.24689831882097416,5,3,0.6,41.6,13.734627770711517,0.3301593214113345,21,0.0,0.0,0.0,0.0,False,False,False
664,136493.17031869155,256082.15423012944,119588.98391143786,2.141352370882022,0.43373493975903615,205.56200349200535,889.1741466323939,-318.0558082751007,15506.81725879699,12947.81725879699,0.1550681725879699,10,9,0.9,66.4,12.963024338479043,0.1952262701578169,32,0.07319780159455948,8.802139603551414,75.43620413974062,2.4864793800024545,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,8,3,0.3,4.0,14,0,0,53,11,52,46,-1,18,4,2500,10000,0,0,500,346,-12226.024496756057,119991.9298296663,132217.95432642236,0.907531283787887,0.10404624277456648,-35.335330915479936,3333.109161935175,-426.50953008523345,32029.48384559377,28515.791952714266,0.3202948384559377,5,2,0.4,69.2,18.77658115845374,0.2713378780123373,44,0.0,0.0,0.0,0.0,False,False,False
752,140590.08910926085,278129.57314492896,137539.48403566814,2.0221798496263195,0.43351063829787234,186.95490573040007,853.1581998310704,-322.8626385813806,12879.326636634883,9336.326636634883,0.12879326636634883,10,10,1.0,75.2,13.854963009694396,0.184241529384234,36,0.05160385865099532,10.915950272536476,68.89001701409016,2.481382079673406,2012-01-10 04:00:00,2021-06-01 16:15:00,VBO,8,3,0.3,4.0,14,0,0,53,56,9,46,-1,18,4,2500,10000,0,0,500,361,-17189.121848320487,133389.34849742622,150578.47034574673,0.8858460853742759,0.10526315789473684,-47.61529597872711,3510.2460130901636,-466.18721469271435,30212.58571602688,26928.277241489675,0.3021258571602688,5,3,0.6,72.2,19.95394697797907,0.27637045675871286,40,0.0,0.0,0.0,0.0,False,False,False
402,50596.582023442505,131802.51839833584,81205.93637489334,1.6230650649708607,0.472636815920398,125.86214433692166,693.6974652543992,-383.0468696928931,6632.756970279843,5093.952531798117,0.06632756970279843,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.09982887772260508,7.628288244263499,52.69858546605203,2.3278309545393134,2012-01-18 02:15:00,2021-05-27 09:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,1000,500,163,6766.070117588613,63217.400262902476,56451.33014531386,1.1198566995706172,0.2883435582822086,41.50963262324303,1345.051069423457,-486.64939780442984,9819.933986582575,8165.933986582575,0.09819933986582575,5,2,0.4,32.6,8.685620300243386,0.26643007055961304,17,0.8288324251520421,0.6890138087316477,236.5700047435248,0.630954381050645,False,False,False
402,50094.463059326714,145601.12775590632,95506.66469657958,1.5245127470263422,0.5223880597014925,124.61309218737989,693.3387035995539,-497.4305452946853,6964.819839018695,6318.952531798117,0.06964819839018695,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.10082950672648426,7.192499478404993,55.89155775498887,2.2491171858825068,2012-01-18 02:15:00,2021-05-27 09:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,1000,0,163,3385.289754241174,70243.72720518959,66858.4374509484,1.0506336953615592,0.34355828220858897,20.768648799025605,1254.3522715212425,-624.8452098219477,14281.550294738583,12627.550294738583,0.14281550294738582,5,2,0.4,32.6,8.685620300243386,0.26643007055961304,17,1.656560800234004,0.23703937488413543,687.6494678560227,0.26177243948431267,False,False,False
722,145228.71597188854,413170.92580350605,267942.20983161754,1.5420150713213656,0.5664819944598338,201.1478060552473,1010.1978626002593,-856.0453988230593,19289.363928037987,14457.0,0.19289363928037986,10,9,0.9,72.2,12.18031198286809,0.16870238203418408,39,0.06879493448068442,7.528953080759281,95.89646691319102,2.181522523262715,2012-01-18 02:15:00,2021-05-31 19:00:00,VBO,8,3,0.3,9.5,200,0,0,55,11,9,38,2,4,-1,2250,10000,0,0,0,286,-33206.7170056208,329614.1040695616,362820.8210751824,0.9084762641040938,0.3811188811188811,-116.10740211755524,3023.9826061427666,-2049.835147317415,70562.42234662405,66312.42234662405,0.7056242234662405,5,1,0.2,57.2,16.581917862539303,0.28989366892551227,30,0.0,0.0,0.0,0.0,False,False,False
402,40584.00090318798,100602.4377764845,60018.43687329652,1.6761922338774646,0.4925373134328358,100.95522612733329,508.09312008325503,-294.20802388870845,5690.661447869028,5426.661447869028,0.05690661447869028,10,9,0.9,40.2,6.749814812274482,0.16790584110135526,24,0.057637725875116896,7.131684299790036,56.36817098197059,2.0158155267646487,2012-01-18 02:15:00,2021-05-27 02:45:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,500,0,163,-2482.3661388748515,34972.46998309661,37454.836121971464,0.9337237484956271,0.37423312883435583,-15.229240115796635,573.3191800507641,-367.2042757056026,10503.339857686966,9834.339857686966,0.10503339857686966,5,3,0.6,32.6,8.685620300243386,0.26643007055961304,17,0.0,0.0,0.0,0.0,False,False,False
930,164880.99685137998,488429.6416884553,323548.64483707526,1.5096018774376472,0.5720430107526882,177.29139446384946,918.1008302414573,-812.9362935604906,18752.307720710553,14518.396511522064,0.18752307720710554,10,9,0.9,93.0,16.816658407662327,0.18082428395335837,44,0.060595218313761544,8.792570989504453,105.77111076045057,1.950130389290978,2012-01-10 01:45:00,2021-05-31 19:00:00,VBO,8,3,0.3,4.0,5,0,1,55,11,-9,-10,1,5,4,2000,10000,0,0,0,386,12764.015820338805,442743.3019779818,429979.286157643,1.029685187708459,0.39896373056994816,33.06739849828706,2874.956506350531,-1853.358992058806,86541.40448587784,84797.30534751365,0.8654140448587784,5,3,0.6,77.2,26.010767001378486,0.3369270336966125,37,0.7827473845715431,0.14749027816415536,2617.1216489969966,0.16931343248914282,False,False,False
