n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_bb_length,p_bb_num_devs,p_intraday_only,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
1922,125183.36318558751,790448.085496857,665264.7223112694,1.1881707521641525,0.5296566077003122,65.13182267720474,776.4715967552622,-735.9123034416697,20034.73998408389,18284.741930538785,0.2003473998408389,10,9,0.9,192.2,32.158358167045776,0.16731716007828187,97,0.01590466935329331,6.248314841372355,307.60293755905866,0.6931140960276773,2012-01-10 08:45:00,2021-06-02 13:15:00,RBB_U,5,10,2.5,1,142,77,64,87,7,6,4,1500,2000,0,920,-64687.81541304881,679865.5254828489,744553.3408958977,0.9131186284985142,0.41956521739130437,-70.31284284027045,1761.3096515099712,-1394.2946458724675,92843.55719595621,91692.8947661435,0.9284355719595621,5,1,0.2,184.0,60.70584815320514,0.32992308778915835,90,0.0,0.0,0.0,0.0,False,False,False
1898,143394.2397135926,821102.4332885919,677708.1935749995,1.211586994333312,0.5210748155953635,75.55017898503299,830.235018492004,-745.5535682893284,27159.160689567885,23937.6371933216,0.27159160689567885,10,9,0.9,189.8,31.51126782596981,0.16602353965210648,96,0.020858578461548045,5.279774340326791,359.4850608487414,0.6905270246434252,2012-01-10 08:45:00,2021-06-02 13:15:00,RBB_U,5,10,2.5,1,142,77,64,87,7,6,4,1500,3000,0,899,-81824.21139847096,721769.8816889876,803594.0930874585,0.8981771865891931,0.3526140155728587,-91.01692035425023,2276.8765983879734,-1380.7458644114408,97383.45041037133,95982.15387157249,0.9738345041037133,5,0,0.0,179.8,59.596644200827285,0.33146075751294374,89,0.0,0.0,0.0,0.0,False,False,False
2147,139512.3986022512,696540.5746337271,557028.176031476,1.250458423119996,0.4038192827200745,64.9801577094789,803.3916662442066,-435.17826252459065,20152.56162540015,18117.16560064756,0.2015256162540015,10,10,1.0,214.7,39.22766880659619,0.18270921661199904,103,0.053694152455630736,6.922812156366798,310.1340830150128,0.6894757354985379,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,500,7500,0,1022,-901.0166128418932,439538.7293460249,440439.7459588669,0.9979542795101736,0.14579256360078277,-0.8816209519000913,2949.924358027013,-504.5128819689197,42088.521234426786,41442.520878184274,0.42088521234426785,5,2,0.4,204.4,61.908319311704794,0.3028782745191037,102,0.0,0.0,0.0,0.0,False,False,False
2043,132523.25036064055,754711.5960355009,622188.3456748604,1.212995391639646,0.5256975036710719,64.86698500276091,702.7109832732783,-642.093235990568,20084.64612270968,18770.126257957418,0.20084646122709682,10,8,0.8,204.3,38.147214839356224,0.18672156064295753,100,0.022569624513890794,6.5982367601088425,309.62817405271454,0.6894376161686268,2012-01-10 18:30:00,2021-06-02 13:15:00,RBB_U,5,20,2.5,1,152,8,101,87,1,0,4,1500,3000,48,945,-14108.438258246388,731745.0545758841,745853.4928341305,0.9810841694866421,0.40634920634920635,-14.929564294440622,1905.5860796246982,-1329.5071173513913,61161.070829873715,58790.465974877996,0.6116107082987372,5,3,0.6,189.0,54.468339427597755,0.2881922721036918,105,0.0,0.0,0.0,0.0,False,False,False
1879,138848.12554513686,890530.35130425,751682.2257591132,1.184716520874118,0.545502927088877,73.8946916152937,868.8100988334146,-880.1899599052848,26382.82667896856,25554.249411038254,0.2638282667896856,10,8,0.8,187.9,31.816505150628974,0.1693267969698189,93,0.02154152235226023,5.26282218485033,357.03277329204263,0.6852608703372053,2012-01-10 08:45:00,2021-06-02 13:15:00,RBB_U,5,10,2.5,1,142,77,64,87,7,6,4,3000,3000,0,869,-9359.628532131406,974903.8360884554,984263.4646205868,0.9904907284801642,0.4948216340621404,-10.770573684846267,2267.2182234615243,-2242.058005969446,75559.31677885604,73107.16425750242,0.7555931677885603,5,2,0.4,173.8,57.38780358229438,0.3301944970212565,87,0.0,0.0,0.0,0.0,False,False,False
2019,137781.72739687527,806847.5863771702,669065.858980295,1.2059314872333562,0.5373947498761763,68.2425593842869,743.6383284582214,-716.3446027626285,22519.278371171356,19533.931124601542,0.22519278371171356,10,8,0.8,201.9,36.76261688182712,0.1820832931244533,97,0.06186593819262301,6.11838999127344,329.9887720265735,0.6849855756761366,2012-01-10 18:30:00,2021-06-02 13:15:00,RBB_U,5,20,2.5,1,152,8,101,87,1,0,4,2500,0,48,900,42284.377310415846,951546.1722861051,909261.7949756894,1.0465040734627438,0.4577777777777778,46.98264145601761,2309.578088073071,-1863.2413831469044,66132.93611214927,62104.73282164337,0.6613293611214927,5,3,0.6,180.0,50.927399305285554,0.2829299961404753,99,1.1271611599697358,0.6393845456779559,1407.6036183291023,0.27518951473767395,True,False,False
2025,137757.37830691074,808384.6210393403,670627.2427324294,1.2054157205806715,0.5377777777777778,68.02833496637568,742.3182929654181,-716.4820969363562,22519.278371171356,19533.931124601542,0.22519278371171356,10,8,0.8,202.5,37.02499155975596,0.18283946449262203,98,0.032600794637616184,6.11730873593465,331.027922148939,0.6828352953005066,2012-01-10 18:30:00,2021-06-02 13:15:00,RBB_U,5,20,2.5,1,152,8,101,87,1,0,4,2500,4500,48,912,-47263.46684648489,860581.3659039423,907844.8327504273,0.9479388270534134,0.4649122807017544,-51.82397680535624,2029.6730327923167,-1860.3377720295641,79703.0466486009,77101.88132331999,0.797030466486009,5,2,0.4,182.4,52.0253784224584,0.2852268553862851,100,0.0,0.0,0.0,0.0,False,False,False
1937,126891.7126528779,723892.7966347382,597001.0839818603,1.2125485464892949,0.4599896747547754,65.50940250535773,812.4498278728825,-570.7467342082795,20957.634137033456,20336.397913010456,0.20957634137033457,10,9,0.9,193.7,34.228789052492054,0.17671032035359863,92,0.039332749914513854,6.054677346840991,319.91795582808777,0.6816098624827026,2012-01-10 08:45:00,2021-06-02 13:15:00,RBB_U,5,10,2.5,1,142,77,64,87,7,6,4,750,5000,0,882,-19104.184132886992,504569.8199442341,523674.0040771211,0.9635189373844237,0.1961451247165533,-21.6600727130238,2916.5885545909487,-738.609314636278,58653.27635646117,57227.23098478711,0.5865327635646117,5,1,0.2,176.4,56.62366996230463,0.32099586146431197,89,0.0,0.0,0.0,0.0,False,False,False
1938,126642.28040855123,725161.3643904115,598519.0839818603,1.2115927190926288,0.45923632610939114,65.34689391566111,814.7880498768669,-571.1059961658973,20957.634137033456,20336.397913010456,0.20957634137033457,10,9,0.9,193.8,33.931696096717594,0.1750861511698534,93,0.035462090429135666,6.042775610094575,320.71354705982014,0.6799189989846527,2012-01-10 08:45:00,2021-06-02 13:15:00,RBB_U,5,10,2.5,1,142,77,64,87,7,6,4,750,4500,0,889,-34863.00572873262,492330.26489439164,527193.2706231243,0.9338705410872832,0.19797525309336333,-39.21597944739327,2797.331050536316,-739.4015015752094,60037.34992953593,58601.42093098446,0.6003734992953593,5,1,0.2,177.8,57.45746252663791,0.3231578319833403,89,0.0,0.0,0.0,0.0,False,False,False
2146,137265.23064588936,694293.4066773653,557028.176031476,1.2464242143437514,0.40354147250698974,63.96329480237156,801.7244880800985,-435.17826252459065,20152.56162540015,18117.16560064756,0.2015256162540015,10,10,1.0,214.6,39.51252965832484,0.18412175982444007,102,0.07278609414043336,6.811304349164287,315.06447076664597,0.6786862525934088,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,500,10000,0,1018,-321.94330251196516,438427.2661648714,438749.2094673834,0.9992662247690365,0.1444007858546169,-0.3162507883221662,2982.4984092848395,-503.73043566863765,39185.53237750753,38192.93317256217,0.3918553237750753,5,1,0.2,203.6,62.00193545366144,0.30452817020462397,101,0.0,0.0,0.0,0.0,False,False,False
