n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
1836,249291.0,905660.0,656369.0,1.379803129032602,0.5610021786492375,135.77941176470588,879.2815533980582,-814.3535980148883,19596.0,17791.0,0.19596,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.024834430444741287,12.721524800979791,144.32232210549117,1.461011256908325,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2000,6000,692,47427.0,803725.0,756298.0,1.06270940819624,0.39739884393063585,68.53612716763006,2922.6363636363635,-1813.6642685851318,40811.0,36176.0,0.40811,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.12632045037636788,1.1621131557668276,595.4669702911843,0.5110157622586522,True,False,False
1885,252765.0,931317.0,678552.0,1.3725064549216568,0.5421750663129974,134.09283819628646,911.2690802348336,-786.2711471610661,19140.0,17981.0,0.1914,10,10,1.0,188.5,35.75262228144951,0.18966908372121757,83,0.03952683322453662,13.206112852664576,142.73692955907663,1.4599499617699163,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,1500,10000,807,83107.0,861195.0,778088.0,1.1068092555083744,0.3345724907063197,102.98265179677819,3189.6111111111113,-1448.953445065177,51156.0,49306.0,0.51156,5,4,0.8,161.4,50.122250548035055,0.31054678158633864,84,0.12021851348261879,1.624579716944249,496.74386032464173,0.685834196910655,True,False,False
1836,262136.0,945790.0,683654.0,1.3834337252469817,0.5664488017429193,142.7755991285403,909.4134615384615,-858.8618090452261,21759.0,18959.0,0.21759,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03811380352183599,12.047244818236132,152.39999084444716,1.4579340528097133,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2500,10000,692,56617.0,886620.0,830003.0,1.0682130064590127,0.43352601156069365,81.81647398843931,2955.4,-2117.3545918367345,60950.0,57583.0,0.6095,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.17646643234364237,0.9289089417555373,744.9599943479873,0.4991800941784217,True,False,False
1836,248521.0,878961.0,630440.0,1.3942024617727302,0.5479302832244008,135.36002178649238,873.7186878727634,-759.566265060241,19605.0,17122.0,0.19605,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.04020183405024123,12.676409079316501,144.8359695961307,1.4561641909152045,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,1500,10000,692,71407.0,736285.0,664878.0,1.1073986505795048,0.33236994219653176,103.1893063583815,3201.2391304347825,-1439.1298701298701,42276.0,36686.0,0.42276,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.1399162547089221,1.6890670829785221,409.69361547187253,0.7559465740929293,True,False,False
1862,245662.0,942420.0,696758.0,1.3525786571521246,0.569280343716434,131.9344790547798,889.0754716981132,-868.7755610972569,18741.0,15881.0,0.18741,10,10,1.0,186.2,37.16665171898055,0.19960607797519095,78,0.018281215654028706,13.108265300677658,142.04778109760565,1.4516612393229624,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,2500,4500,761,86156.0,982912.0,896756.0,1.096075186561339,0.4559789750328515,113.21419185282522,2832.599423631124,-2166.07729468599,38896.0,37616.0,0.38896,5,4,0.8,152.2,45.16370223974115,0.29673917371709035,80,0.05212637541204327,2.215034965034965,343.56116811365433,0.8646727146739455,True,False,False
1836,259756.0,943410.0,683654.0,1.379952432078215,0.5664488017429193,141.479302832244,907.125,-858.8618090452261,21759.0,18959.0,0.21759,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.02883860238069573,11.937864791580495,153.79634734135112,1.4446970954834126,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2500,7500,692,69172.0,894157.0,824985.0,1.0838463729643568,0.43641618497109824,99.95953757225433,2960.7847682119204,-2115.346153846154,54522.0,51177.0,0.54522,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.10829526397964494,1.2686988738490885,545.4406985485457,0.6448247579656432,True,False,False
1836,226616.0,842141.0,615525.0,1.3681670119004101,0.5343137254901961,123.42919389978213,858.4515800203874,-719.9122807017544,16571.0,15584.0,0.16571,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03305591838175592,13.675457123891135,134.25510996575704,1.444265006365273,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,1250,7500,692,54607.0,652382.0,597775.0,1.09135042449082,0.29190751445086704,78.91184971098266,3229.6138613861385,-1219.9489795918366,38543.0,33713.0,0.38543,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.13718021499075211,1.4167812572970448,488.4310802644349,0.6054423842084278,True,False,False
1885,249280.0,927832.0,678552.0,1.3673705183980005,0.5421750663129974,132.24403183023873,907.8590998043053,-786.2711471610661,19140.0,17981.0,0.1914,10,10,1.0,188.5,35.75262228144951,0.18966908372121757,83,0.042345956354300385,13.02403343782654,144.73242939666238,1.4398208868712232,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,1500,0,807,78877.0,856965.0,778088.0,1.101372852428003,0.3345724907063197,97.74101610904584,3173.9444444444443,-1448.953445065177,51156.0,49306.0,0.51156,5,4,0.8,161.4,50.122250548035055,0.31054678158633864,84,0.2055225224083066,1.5418914692313708,523.383140839535,0.6509264436175259,True,False,False
1836,258806.0,942460.0,683654.0,1.3785628402671526,0.5664488017429193,140.96187363834423,906.2115384615385,-858.8618090452261,21759.0,18959.0,0.21759,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03700068777385378,11.894204696907027,154.36088807832894,1.4394134360464441,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2500,0,692,56417.0,886420.0,830003.0,1.0679720434745417,0.43352601156069365,81.52745664739885,2954.733333333333,-2117.3545918367345,60365.0,56998.0,0.60365,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.29230551075030575,0.9345978630000829,740.4254036903769,0.4998211694994291,True,False,False
1836,245606.0,876046.0,630440.0,1.389578706934839,0.5479302832244008,133.77233115468408,870.8210735586481,-759.566265060241,19605.0,17122.0,0.19605,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.03758458669576476,12.527722519765366,146.55497015545225,1.439084271646741,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,1500,0,692,71207.0,736085.0,664878.0,1.1070978435141485,0.33236994219653176,102.90028901734104,3200.3695652173915,-1439.1298701298701,42276.0,36686.0,0.42276,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.2315923996236325,1.6843362664395876,410.8443271026725,0.7538292842639408,True,False,False
