codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
BP-15M-BIAS-d2e4b2,BP,15m,BIAS,,del motore,,,,,,,,0.4,0.0,153.0,153.0,152.0,153.0,-1.0,0.0,,,,,,,,,,,,,,,,,,1.0,5.0,14.0,5.0,55.0,91.0,91.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,2727,13.19,22580.440000000002,36229.121499999994,13648.677,13.9497,8.280322698936562,6999.144099999997,47.524752475247524,32.78327832783278,0.0014668133480014668,0.0,50.0,2,1711.4558435360036,3.2261716114688954,206,0.98,4353.592899999999,5381.0223,1027.4298,3.4893,21.13394611650485,1553.996999999999,54.36893203883495,26.699029126213592,0.0048543689320388345,0.0,50.0,0,4441.75923666201,2.80154524107833,2.595310450712525
BP-15M-BOS-974b9e,BP,15m,BO_S,,intraday,1.0,55.0,56.0,52.0,11.0,13.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,13.19,33038.1401,53710.5293,20672.3961,9192.6257,14.389433841463413,8294.94370000001,50.47909407665505,10.278745644599303,1.2343205574912892,48.649825783972126,44.0,4,2504.603709324408,3.982925176454176,143,0.95,1948.7448000000009,3226.5368,1277.7918000000002,566.9714,13.62758601398602,2244.0412000000006,51.048951048951054,9.79020979020979,1.2377622377622377,52.44755244755245,44.0,1,2057.1648502890184,0.8684086548856591,0.8213534311357856
BP-15M-LF-609b39,BP,15m,LF,,overnight 5 giornate,0.0,55.0,56.0,52.0,13.0,14.0,460.0,1.0,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,12.33,13218.9606,14352.486,1133.5263,873.5314999999999,254.21078076923078,2221.3051000000005,53.84615384615385,42.30769230769231,5.230769230769231,61.53846153846154,460.0,3,1071.748137436182,5.9509882726150485,3,0.27,165.6587,225.2305,59.5719,44.698,55.21956666666667,526.9528,66.66666666666666,33.33333333333333,5.0,66.66666666666666,460.0,1,611.1802037878788,0.31437104044233183,0.5702647687822755
BP-15M-LFHL-c6a4d3,BP,15m,LF_HL,,overnight 1 giornate,0.0,55.0,56.0,52.0,9.0,11.0,92.0,1.0,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,13.19,27609.082599999998,31581.618500000004,3972.5376,1872.5796,65.73591095238095,3966.6489999999976,55.23809523809524,6.428571428571428,1.3785714285714286,50.95238095238095,92.0,1,2093.8989658741693,6.960303924042691,17,0.82,-354.3943,-191.7192,162.67520000000002,78.1536,-20.846723529411765,1724.8678,41.17647058823529,5.88235294117647,1.411764705882353,41.17647058823529,92.0,1,-431.47506025,-0.20546171712406017,-0.20606297977221938
BP-15M-MAC-992e74,BP,15m,MAC,,del motore,,,,,,,,0.2,0.5,,,,,,,,,,,,,,,,,1.0,0.0,12.0,50.0,2.0,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,13.13,8064.531500000001,11130.350999999999,3065.8216999999995,535.8723,15.93780928853755,2383.2642000000014,35.77075098814229,46.24505928853755,0.35375494071146246,100.0,15.0,3,614.0442214665417,3.3838176648648504,52,0.79,-419.06959999999987,-134.1376000000001,284.93129999999996,26.5,-8.059030769230766,1018.5983,28.846153846153843,44.230769230769226,0.17307692307692307,100.0,14.5,1,-533.3281233449476,-0.41141792598711374,-0.8685500240865108
BP-15M-RBBM-8c9611,BP,15m,RBB_M,,intraday,1.0,3.0,56.0,52.0,-1.0,1.0,0.0,0.5,0.0,,,,,,,,,53.0,0.0,10.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,13.18,26578.341800000002,31232.290399999998,4653.9492,1714.008,45.20126156462585,5498.093800000002,47.61904761904761,37.58503401360544,0.8996598639455783,48.63945578231292,87.0,3,2016.1452424610593,4.834101193399063,38,0.92,2921.6092000000003,3244.7994,323.1909,134.4268,76.88445263157895,954.1367999999998,55.26315789473685,26.31578947368421,1.105263157894737,44.73684210526316,87.0,0,3185.426150149254,3.062044352549866,1.5799586671944736
BP-15M-RBBU-75b198,BP,15m,RBB_U,,overnight 10 giornate,0.0,,,,-1.0,9.0,920.0,0.2,0.0,152.0,153.0,152.0,153.0,,,,,,1.0,30.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,13.19,27237.629799999995,42632.873999999996,15395.242599999998,9105.3684,21.651534022257547,13201.222100000017,10.174880763116057,89.5866454689984,2.231319554848967,48.569157392686805,27.0,3,2064.8701296077206,2.063265779006927,90,0.98,-3563.2449999999994,-2460.9314999999997,1102.3127,655.0115,-39.591611111111106,5257.6535,7.777777777777778,92.22222222222223,2.2333333333333334,48.888888888888886,37.5,1,-3645.5888970588226,-0.6777253388797871,-1.7655293884034262
BP-1H-BIASRT-8577be,BP,1h,BIAS_RT,,del motore,,,,,,,,0.9,1.7,153.0,153.0,152.0,153.0,-1.0,2.0,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,14.0,7.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,2051,13.19,20761.660099999994,31019.943900000002,10258.282299999997,3.4874,10.122701170160894,10243.897500000006,51.19453924914675,5.655777669429547,0.00048756704046806434,0.0,11.0,4,1574.257079411459,2.026734463127924,159,0.98,1195.3846000000003,1989.0995000000003,793.7151,3.4903,7.518142138364782,3066.3741000000005,52.20125786163522,1.8867924528301887,0.006289308176100629,0.0,12.0,1,1223.0090340336137,0.3898365173381813,0.7768801233473503
BP-1H-LF-65aab4,BP,1h,LF,,overnight 1 giornate,0.0,28.0,22.0,1.0,14.0,10.0,23.0,1.6,3.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,12.49,22316.7785,23563.582700000003,1246.8058999999998,596.8189,171.66752692307693,2230.148599999997,60.76923076923077,1.5384615384615385,1.4307692307692308,59.23076923076923,23.0,0,1787.152674221662,10.006857166378973,10,0.96,-298.64529999999996,-199.375,99.27029999999999,49.706199999999995,-29.864529999999995,763.0943,50.0,0.0,1.6,70.0,23.0,1,-312.55070436962745,-0.39136093664963817,-0.1748875229732396
BP-1H-LFHL-a6a2ea,BP,1h,LF_HL,,overnight 1 giornate,0.0,55.0,56.0,52.0,16.0,5.0,23.0,0.6,0.0,41.0,42.0,41.0,42.0,2.0,2.0,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,13.1,26570.388899999998,29482.415699999998,2912.0256000000004,1182.0602,76.79303150289017,3003.007800000014,53.46820809248555,27.167630057803464,1.0549132947976878,50.0,23.0,2,2027.7548152371498,8.847925370023972,30,0.9,-390.85339999999997,-159.79919999999993,231.05419999999998,81.98780000000001,-13.028446666666666,2002.5142,50.0,30.0,0.8666666666666667,60.0,23.0,1,-433.9185542553191,-0.1951813375405777,-0.2139896554527829
BP-1H-PC-8146e0,BP,1h,PC,,overnight 1 giornate,0.0,4.0,25.0,52.0,9.0,16.0,23.0,1.25,0.0,,,,,,,,,21.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,155.0,0.0,0.0,,,,,,,,,,,,,,,,,239,12.97,24841.2899,27142.9916,2301.7027,1106.7266,103.93845146443515,3776.1849,54.811715481171554,3.3472803347280333,1.4225941422594142,45.60669456066946,23.0,2,1914.5982561669127,6.578409309353469,12,0.95,228.5137999999998,351.875,123.3612,63.78339999999999,19.04281666666665,511.7299,50.0,0.0,1.5833333333333333,33.33333333333333,23.0,0,239.8409926724136,0.4465515890316353,0.1252696182605864
BP-1H-TFM-056220,BP,1h,TF_M,,intraday,1.0,55.0,56.0,52.0,12.0,1.0,0.0,1.6,0.0,,,,,,,,,-10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,13.19,31928.7706,48533.478,16604.6979,6379.902399999999,15.61309075794621,9329.81680000004,49.63325183374083,0.8801955990220048,0.9628361858190709,50.02444987775061,10.0,4,2421.5081938642024,3.4222291052917417,162,0.98,-7393.4498,-6092.490400000001,1300.9594000000002,495.7839,-45.63857901234568,8481.706299999998,41.358024691358025,0.6172839506172839,0.9506172839506173,47.53086419753087,10.0,2,-7564.306833193277,-0.8716936826732614,-3.123799808879557
BP-30M-BO-d0b40f,BP,30m,BO,,intraday,1.0,31.0,56.0,52.0,8.0,13.0,0.0,2.2,0.0,,,,,,,,,53.0,-1.0,,,0.0,5.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,13.16,22580.9224,27475.521399999998,4894.599200000001,2314.6508,43.761477519379845,5731.031300000013,52.90697674418605,0.3875968992248062,1.377906976744186,45.93023255813954,23.0,4,1716.4790648491155,3.9401150016402715,18,0.86,1422.8576,1597.5,174.64239999999998,85.4266,79.04764444444444,656.7073,61.111111111111114,0.0,1.4444444444444444,22.22222222222222,25.0,0,1655.091523566879,2.166654154750526,0.964236358870108
BP-30M-BOS-feff2b,BP,30m,BO_S,,intraday,1.0,18.0,56.0,52.0,-1.0,1.0,0.0,0.3,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,13.18,16279.549499999997,16969.560699999998,690.0111000000002,175.02139999999997,158.05387864077667,1621.8606999999975,37.86407766990291,58.252427184466015,0.5339805825242718,52.42718446601942,27.0,3,1234.9128670560747,10.037575668489916,14,0.74,200.9502,289.62800000000004,88.67769999999999,18.8972,14.353585714285714,672.0330000000001,28.57142857142857,71.42857142857143,0.42857142857142855,42.857142857142854,16.5,1,269.842134375,0.299018351777368,0.218511071974074
BP-30M-LF-68837b,BP,30m,LF,,overnight 2 giornate,0.0,55.0,56.0,52.0,14.0,10.0,92.0,0.4,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,13.15,38290.9332,42848.031200000005,4557.0972,2557.1372,95.727333,3368.6747000000005,35.75,60.5,1.98,51.5,60.0,3,2911.8807727045596,11.366764858595577,39,0.96,-1109.9361000000001,-701.3527,408.5835000000001,214.79020000000003,-28.459900000000005,2841.9145,30.76923076923077,58.97435897435898,1.7179487179487178,53.84615384615385,36.0,2,-1161.6165058022923,-0.3905592867061976,-0.3989231003862088
BP-30M-LFHL-561a48,BP,30m,LF_HL,,intraday,1.0,55.0,56.0,52.0,-1.0,11.0,0.0,0.4,0.0,41.0,42.0,41.0,42.0,4.0,-1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,13.19,20303.0878,26574.176400000004,6271.090499999999,2136.1732,24.55028754534462,5889.658900000001,45.58645707376058,42.32164449818622,0.7932285368802902,44.619105199516326,24.0,2,1539.1662139788293,3.447243404876978,67,0.92,3012.5522000000005,3518.0164,505.46379999999994,172.30030000000002,44.9634656716418,1092.6896000000002,52.23880597014925,41.7910447761194,0.7910447761194029,52.23880597014925,26.0,1,3284.5811673134335,2.7570063813181713,2.134000303204818
BP-30M-MAC-7816d1,BP,30m,MAC,,del motore,,,,,,,,0.65,0.0,,,,,,,,,,,,,,,,,1.0,0.0,8.0,40.0,1.0,1.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,13.08,13985.4827,16759.1935,2773.7146999999995,1068.7487999999998,41.013145747800586,4713.946100000005,39.589442815249264,7.9178885630498534,1.0469208211143695,100.0,22.0,4,1069.1079020876937,2.9668312711509337,31,0.79,-1237.8332,-1045.3344,192.49890000000002,38.4866,-39.930103225806455,1237.8332,29.03225806451613,6.451612903225806,0.41935483870967744,100.0,11.0,2,-1575.3260498257841,-1.0,-1.4734958433564809
BP-30M-PC-1a7d28,BP,30m,PC,,intraday,1.0,55.0,56.0,52.0,9.0,4.0,0.0,1.25,0.0,,,,,,,,,53.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,30.0,0.0,0.0,,,,,,,,,,,,,,,,,3496,13.19,53637.123100000004,86014.8972,32377.788800000002,14898.1384,15.342426516018309,11078.723800000036,50.02860411899314,3.775743707093822,1.3155034324942791,50.11441647597255,27.0,4,4065.3577946202536,4.841453227672291,269,0.98,-9122.751400000001,-6676.1564,2446.5951999999997,1109.42,-33.91357397769517,11509.856300000003,42.37918215613383,4.089219330855019,1.2825278810408922,44.98141263940521,27.0,1,-9307.499857122906,-0.7926034141712089,-2.2894663464651632
BP-30M-RBBM-014ead,BP,30m,RBB_M,,overnight 5 giornate,0.0,55.0,56.0,52.0,-1.0,6.0,230.0,0.2,0.0,,,,,,,,,53.0,0.0,10.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539,13.19,35953.6554,50666.42839999999,14712.777399999997,7017.9313,23.36169941520468,16380.48299999996,13.775178687459388,86.09486679662119,1.4048083170890189,49.382716049382715,16.0,4,2725.0617627827355,2.1949081354927134,109,0.98,3397.8060999999993,4421.413699999999,1023.6084,481.82009999999997,31.17253302752293,1867.134499999999,16.51376146788991,83.4862385321101,1.3669724770642202,54.12844036697248,17.0,0,3466.616419064245,1.819797181188608,1.272123981338412
BP-30M-RHL-9434f4,BP,30m,RHL,,overnight 5 giornate,0.0,55.0,56.0,52.0,23.0,-1.0,230.0,0.8,0.0,,,,,,,,,53.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,50,13.03,12219.4216,13141.5392,922.1181999999999,672.1232,244.388432,3559.7826999999997,40.0,52.0,4.2,57.99999999999999,212.0,3,937.8322629544022,3.4326313232546473,57,0.98,-466.1247000000002,490.7002,956.8249,673.4813,-8.177626315789476,4958.5731,43.859649122807014,52.63157894736842,3.719298245614035,59.64912280701754,210.0,1,-476.89648928571444,-0.0940037971810883,-0.508509365825583
BP-30M-TFM-ca5773,BP,30m,TF_M,,intraday,1.0,32.0,12.0,52.0,12.0,13.0,0.0,0.8,0.0,,,,,,,,,53.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,12.89,13741.8678,15242.7986,1500.9319,700.9479,85.88667375,2950.8418999999994,55.00000000000001,9.375,1.35,46.25,21.0,3,1065.8775141112762,4.656931230371916,4,0.57,-1051.4187000000002,-1015.5621000000001,35.8566,15.9475,-262.85467500000004,1054.1833000000001,25.0,25.0,1.25,25.0,20.0,2,-1828.7175246428576,-0.9973774959250445,-1.7156920006588503
BP-4H-LF-f437ae,BP,4h,LF,,overnight 1 giornate,0.0,55.0,56.0,52.0,-1.0,8.0,6.0,2.2,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,12.68,5757.465,6438.982100000001,681.5174,351.52399999999994,87.23431818181818,1439.9872999999989,57.57575757575758,0.0,1.6666666666666667,51.515151515151516,6.0,4,453.99699724740935,3.9982748458962134,5,0.67,-160.81919999999997,-120.0,40.819199999999995,16.1245,-32.16383999999999,706.6038,40.0,0.0,1.0,40.0,6.0,1,-240.73447868852455,-0.22759458695240525,-0.5302556628085677
BP-4H-MAC-6e4345,BP,4h,MAC,,del motore,,,,,,,,2.2,0.0,,,,,,,,,,,,,,,,,1.0,0.0,5.0,20.0,1.0,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,13.11,29473.4107,33272.186700000006,3798.7758,2463.8025,110.38730599250937,3471.7471999999907,52.43445692883895,0.37453183520599254,3.0823970037453186,100.0,9.0,3,2248.832934651138,8.489503700039013,19,0.8,-2645.4032,-2355.625,289.7782,195.27810000000002,-139.23174736842105,4111.8894,26.31578947368421,0.0,3.473684210526316,100.0,8.0,2,-3309.0189,-0.6433546583232517,-1.4714382953989105
BP-4H-PC-e9a443,BP,4h,PC,,intraday,1.0,29.0,8.0,52.0,4.0,20.0,0.0,2.2,0.0,,,,,,,,,53.0,3.0,,,,,,0.2,0.0,0.0,,,,,,,,,,,,,,,50.0,0.0,0.0,,,,,,,,,,,,,,,,,265,13.15,18916.121200000005,20312.9122,1396.7909999999997,71.8175,71.38158943396229,2218.064000000004,56.9811320754717,0.0,0.08679245283018867,47.54716981132076,2.0,2,1438.7990979383594,8.528212531288535,14,0.92,28.032099999999957,106.66459999999987,78.63250000000001,9.0806,2.002292857142854,799.413,42.857142857142854,0.0,0.21428571428571427,50.0,2.0,1,30.381971884272954,0.03506585457079126,0.02111620164886604
BP-4H-RBBU-ed6ea7,BP,4h,RBB_U,,overnight 1 giornate,0.0,,,,-1.0,4.0,6.0,0.5,0.0,152.0,153.0,152.0,153.0,,,,,,-1.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,13.17,15435.6339,18341.8299,2906.1971999999996,1126.2327999999998,43.35852219101124,2675.2018000000025,49.157303370786515,38.20224719101123,0.9775280898876404,49.71910112359551,6.0,3,1171.6262015741895,5.7698951533301095,31,0.95,682.5400999999998,891.1170999999997,208.57690000000002,54.4128,22.017422580645157,1233.6381000000001,38.70967741935484,45.16129032258064,0.5483870967741935,51.61290322580645,6.0,0,720.5137905346819,0.5532741733576482,0.6149689974213655
BTC-15M-LF-e49442,BTC,15m,LF,,overnight 1 giornate,0.0,55.0,56.0,52.0,-1.0,5.0,92.0,0.2,3.0,41.0,42.0,41.0,42.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,7.19,330747.6111,447475.2546,116727.6431,32535.7645,2004.5309763636362,37870.890999999996,36.36363636363637,62.42424242424243,0.6181818181818182,42.42424242424242,53.0,2,46021.16760162857,8.733557684185461,36,0.9,-60719.838599999995,-38030.9199,22688.918600000005,3125.1927,-1686.6621833333331,65530.298699999985,19.444444444444446,80.55555555555556,0.2222222222222222,16.666666666666664,23.0,2,-67615.61295320121,-0.9265918179005647,-1.4692285414942072
BTC-15M-LFHL-f87511,BTC,15m,LF_HL,,intraday,1.0,55.0,56.0,-32.0,-1.0,5.0,0.0,1.25,0.0,41.0,42.0,41.0,42.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,7.17,434311.9551,571581.3431,137269.3882,51036.49599999999,2569.8932254437873,83509.5159,59.171597633136095,4.733727810650888,0.9467455621301775,39.053254437869825,81.0,0,60592.98762424561,5.200748087440417,14,0.98,10513.229399999995,21856.647899999993,11343.418599999999,4178.945000000001,750.9449571428568,37166.336299999995,42.857142857142854,7.142857142857142,0.9285714285714286,50.0,80.0,1,10696.2591597493,0.2828696731133005,0.1765263536117389
BTC-15M-RBBM-8b34eb,BTC,15m,RBB_M,,overnight 1 giornate,0.0,55.0,56.0,52.0,23.0,0.0,92.0,0.3,0.35,,,,,,,,,53.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7.04,94554.7893,138310.5824,43755.791800000006,7017.5178,1313.2609625,27596.4394,56.94444444444444,33.33333333333333,0.3055555555555556,34.72222222222222,35.5,0,13432.958689935824,3.426340185755993,287,1.03,-166365.9257,-2392.632599999997,163973.2944,8677.9838,-579.6722149825783,170960.37139999995,43.90243902439025,47.386759581881535,0.09407665505226481,43.55400696864111,31.0,2,-161180.78080086206,-0.9731256684670495,-11.99890392885829
BTC-15M-TFM-a0a3a2,BTC,15m,TF_M,,overnight 10 giornate,0.0,3.0,56.0,52.0,-1.0,-1.0,920.0,0.2,0.0,,,,,,,,,53.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,7.22,1231786.5880999998,1955047.2846999997,723260.696,475277.34609999997,2534.54030473251,295121.2530000011,13.168724279835391,86.62551440329219,3.065843621399177,53.29218106995884,41.0,2,170679.07864321888,4.173832198049102,101,1.03,-119877.72590000003,1665.837600000001,121543.5627,68086.80739999999,-1186.9081772277232,206981.81510000004,8.91089108910891,90.0990099009901,1.900990099009901,56.43564356435643,37.0,2,-116450.37070472077,-0.5791703287657565,-0.6822767712974608
BTC-1H-BIASBO-13c5d9,BTC,1h,BIAS_BO,,del motore,,,,,,,,0.3,0.0,152.0,153.0,153.0,153.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,2.0,5.0,17.0,1.0,3.0,7.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,683,7.23,504895.76930000004,853718.1035,348822.3235,318.9781,739.2324587115667,93374.2158,43.77745241581259,36.896046852122986,0.0014641288433382138,100.0,10.0,1,69853.47717303978,5.407229018998626,138,1.03,-177959.53100000002,-99462.84529999999,78496.68590000001,3427.9105,-1289.56181884058,184762.45839999997,31.15942028985507,44.927536231884055,0.07246376811594203,100.0,10.0,2,-172413.04694363396,-0.9631801424439157,-2.468209943458297
BTC-1H-BO-4e41e2,BTC,1h,BO,,overnight 2 giornate,0.0,3.0,56.0,52.0,-1.0,4.0,46.0,1.25,0.0,,,,,,,,,53.0,-1.0,,,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,7.19,812800.5992,1155098.7656999999,342298.1651,208611.6689,3102.292363358779,129452.8198,49.23664122137404,12.595419847328243,2.49618320610687,52.29007633587786,46.0,1,113095.3976601143,6.278740010883873,36,1.0,67578.3092,111296.79979999996,43718.49059999999,24102.022399999998,1877.1752555555556,33888.4006,47.22222222222222,2.7777777777777777,1.9722222222222223,55.55555555555556,46.0,0,67624.59571315069,1.9941427746224176,0.5979429500427855
BTC-1H-LF-a5bd10,BTC,1h,LF,,intraday,1.0,55.0,56.0,52.0,3.0,0.0,0.0,1.15,0.75,41.0,42.0,41.0,42.0,-1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,7.23,439779.46589999995,878948.3937,439168.92669999995,145772.9917,764.8338537391304,115665.13499999995,50.95652173913044,2.4347826086956523,0.7947826086956522,54.2608695652174,8.0,1,60844.488606051134,3.802178295992134,139,1.03,-177790.73979999998,-66393.81910000002,111396.92069999999,35450.7957,-1279.070070503597,178814.74180000005,37.410071942446045,5.0359712230215825,0.7553956834532374,52.51798561151079,7.0,2,-172707.626893484,-0.994273391613621,-2.838508973453806
BTC-1H-LFHL-66e894,BTC,1h,LF_HL,,overnight 5 giornate,0.0,55.0,56.0,52.0,23.0,-1.0,115.0,0.9,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,6.95,464409.0262,593333.6330999999,128924.60749999998,99840.14080000001,8147.526775438597,72759.78900000005,57.89473684210527,29.82456140350877,5.491228070175438,50.877192982456144,115.0,1,66834.27770667849,6.382770381590849,17,0.86,-21667.935500000003,2598.335899999999,24266.2712,14979.3165,-1274.5844411764708,65724.6734,41.17647058823529,52.94117647058824,2.5294117647058822,41.17647058823529,105.0,1,-25285.026969249207,-0.3296773400170293,-0.3783242347619861
BTC-1H-MAC-59418e,BTC,1h,MAC,,del motore,,,,,,,,0.5,3.0,,,,,,,,,,,,,,,,,0.0,0.0,12.0,24.0,3.0,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,7.2,655680.8840000001,923139.6796,267458.7959,101116.05649999999,2011.291055214724,85767.79340000002,42.02453987730061,16.56441717791411,0.9723926380368099,46.62576687116564,18.0,1,91129.16395776256,7.644837974810249,72,1.02,10947.606999999989,72354.99,61407.3828,21991.4053,152.05009722222206,74465.07450000002,26.38888888888889,23.61111111111111,0.9027777777777778,55.55555555555556,15.5,1,10748.960905241926,0.14701666618221118,0.1179530288484152
BTC-1H-PC-cf9d4f,BTC,1h,PC,,intraday,1.0,40.0,56.0,52.0,-1.0,1.0,0.0,2.2,0.0,,,,,,,,,53.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,183,7.13,324630.58190000005,475104.1068,150473.52529999998,57097.07989999999,1773.9376060109291,102473.58220000002,49.72677595628415,0.0,0.9781420765027322,61.74863387978142,21.0,2,45516.82151208254,3.167944117210728,35,1.01,23923.727600000006,56099.349999999984,32175.622400000004,12385.345599999999,683.5350742857145,29543.5711,54.285714285714285,0.0,1.0,48.57142857142857,21.0,1,23680.600286991874,0.809777786139063,0.5202604114328547
BTC-1H-TFM-613144,BTC,1h,TF_M,,overnight 5 giornate,0.0,55.0,56.0,52.0,-1.0,4.0,115.0,0.3,0.0,,,,,,,,,53.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,7.23,859575.6431,1420477.6075,560901.9613000001,318021.1504,1805.8311829831932,235471.44120000035,19.95798319327731,79.2016806722689,2.0945378151260505,53.78151260504202,17.0,2,118969.30793568587,3.650445415883405,71,1.01,101701.17670000001,180913.5304,79212.35440000001,41000.4831,1432.4109394366199,75594.21960000001,22.535211267605636,77.46478873239437,1.7464788732394365,52.112676056338024,36.0,0,100667.62815630081,1.345356526440019,0.8461646949372956
BTC-30M-BO-284f81,BTC,30m,BO,,overnight 2 giornate,0.0,55.0,56.0,52.0,-1.0,6.0,92.0,1.6,4.0,,,,,,,,,53.0,4.0,,,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,7.2,715379.2072,1235139.6676999999,519760.4603,307494.8793,1719.6615557692307,190903.68389999995,46.63461538461539,7.451923076923077,2.3173076923076925,56.25,92.0,1,99426.27679977169,3.747330552168565,65,1.0,-11702.386099999992,68412.80189999999,80115.18800000001,44206.0716,-180.0367092307691,70713.9994,47.69230769230769,4.615384615384616,1.9692307692307693,49.23076923076923,92.0,1,-11710.401432945198,-0.1654889583292328,-0.11777974404621465
