codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
YM-1H-BOS-523718,YM,1h,BO_S,,intraday,1.0,55.0,56.0,52.0,-1.0,12.0,0.0,0.8,0.0,,,,,,,,,-10.0,-1.0,,,1.0,1.0,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816,13.19,252308.26980000004,284165.4063,31857.1342,-5.061,89.59810717329547,46610.31679999997,48.86363636363637,17.86221590909091,0.0007102272727272727,54.11931818181818,17.0,3,19123.38567014941,5.413142135090577,220,0.98,-75257.153,-72767.9189,2489.2339999999995,0.0,-342.0779681818182,85542.81350000005,40.0,30.0,0.0,54.54545454545454,17.0,2,-76781.2154560056,-0.8797600864507451,-4.015042983516093
YM-1H-LF-db5892,YM,1h,LF,,intraday,1.0,55.0,56.0,52.0,6.0,18.0,0.0,0.75,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,13.19,118693.9752,125313.07500000001,6619.0995,0.0,202.8956841025641,14484.808900000004,51.96581196581197,11.282051282051283,0.0,51.45299145299145,5.0,3,9001.863463828904,8.194376330363598,62,0.98,7743.6011,8445.1125,701.5114000000001,0.0,124.89679193548388,7440.129600000003,53.2258064516129,14.516129032258066,0.0,51.61290322580645,4.0,0,7922.549864915965,1.040788469598701,0.8801010920405743
YM-1H-MAC-1d01cc,YM,1h,MAC,,del motore,,,,,,,,0.75,0.0,,,,,,,,,,,,,,,,,0.0,0.0,8.0,50.0,5.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,13.16,148462.37729999996,179277.56830000004,30815.1909,25474.6525,314.538934957627,30673.42330000001,37.92372881355932,12.288135593220339,1.771186440677966,50.21186440677966,19.0,4,11282.955328511234,4.84009808256387,31,0.89,4187.054900000001,5764.517099999999,1577.4621999999995,1226.7064999999998,135.06628709677423,6389.950999999999,38.70967741935484,6.451612903225806,1.6129032258064515,54.83870967741935,22.0,1,4720.129019212964,0.6552561827156423,0.4183415498673056
YM-1H-PC-70ea3b,YM,1h,PC,,intraday,1.0,6.0,56.0,52.0,11.0,17.0,0.0,0.8,1.7,,,,,,,,,53.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,15.0,0.0,0.0,,,,,,,,,,,,,,,,,1529,13.17,153991.6228,171350.44580000002,17358.8213,58.645,100.7139455853499,34422.50540000001,50.03270111183781,12.23021582733813,0.0006540222367560497,53.8914323086985,7.0,1,11691.00815375182,4.473573931082889,110,0.92,2289.544600000002,3534.1615999999985,1244.6169999999993,0.0,20.814041818181835,17810.623099999997,48.18181818181818,17.272727272727273,0.0,60.909090909090914,7.0,0,2481.4723001483703,0.12854938241885555,0.21225477456809647
YM-1H-RBBM-324e1f,YM,1h,RBB_M,,intraday,1.0,55.0,56.0,52.0,18.0,2.0,0.0,0.5,0.0,,,,,,,,,53.0,4.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2243,13.19,110046.34779999999,135483.86589999998,25437.5171,58.645,49.06212563530985,64248.224399999934,47.97146678555506,22.024074899687918,0.00044583147570218456,48.060633080695496,3.0,4,8342.554697789537,1.7128309587961175,160,0.97,-10901.206900000001,-9090.854800000001,1810.352,0.0,-68.13254312500001,21785.564,50.0,25.0,0.0,55.625,3.0,2,-11184.454551193821,-0.5003867193890413,-1.3406510303321453
YM-1H-RBBU-b5b54f,YM,1h,RBB_U,,intraday,1.0,,,,13.0,-1.0,0.0,0.5,1.3,152.0,153.0,152.0,153.0,,,,,,-1.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378,13.19,89702.7171,105291.8441,15589.126100000001,-2.5305,65.09631139332366,19802.698999999986,49.782293178519595,23.875181422351233,0.000725689404934688,54.20899854862119,5.0,4,6798.903801779415,4.529822783247883,116,0.96,-3236.589700000001,-1924.0844999999986,1312.5051999999994,0.0,-27.901635344827593,12362.489599999997,46.55172413793103,28.448275862068968,0.0,47.41379310344828,5.0,2,-3387.2905098137544,-0.2618072738358463,-0.4982112717828468
YM-1H-RHL-be711d,YM,1h,RHL,,overnight 2 giornate,0.0,33.0,56.0,29.0,-1.0,14.0,46.0,0.5,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.1,0.5,,,,,,,,,,,,,,,100,12.96,134601.52139999997,143708.71140000003,9107.19,7975.72,1346.0152139999998,23380.12260000001,39.0,60.0,1.36,100.0,18.0,2,10389.519376870243,5.757092197626026,6,0.43,12790.918,13312.786100000001,521.8681,453.97990000000004,2131.8196666666668,4245.025600000001,50.0,50.0,1.5,100.0,36.0,0,29568.878477848102,3.01315450253115,2.846029484643541
YM-1H-VBO-7f8ee0,YM,1h,VBO,,overnight 10 giornate,0.0,31.0,6.0,52.0,5.0,6.0,230.0,1.25,0.0,,,,,,,,,53.0,3.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,3.0,0.5,9.5,5.0,0.0,,,,,,,,,,84,12.92,174878.58739999996,222041.2821,47162.6948,46212.259999999995,2081.8879452380947,28869.11409999999,51.19047619047619,44.047619047619044,9.380952380952381,100.0,230.0,1,13538.44935308393,6.057636087974034,6,0.42,9361.400400000002,11824.585500000001,2463.1853,2395.2971000000002,1560.2334000000003,11885.4094,50.0,50.0,7.833333333333333,100.0,153.5,0,22495.075632236847,0.7876380261667724,1.661569581978211
YM-30M-LF-ce0dc2,YM,30m,LF,,overnight 1 giornate,0.0,55.0,56.0,52.0,-1.0,14.0,46.0,0.8,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,12.84,102323.9812,105223.0325,2899.0512999999996,2231.484,1734.304766101695,6387.5736,57.6271186440678,30.508474576271187,1.0338983050847457,69.49152542372882,46.0,3,7972.234243451365,16.0192253909998,6,0.47,3926.771,4315.3587,388.5877,320.6995,654.4618333333334,4012.3576999999996,33.33333333333333,16.666666666666664,1.0,100.0,46.0,0,8387.445074561403,0.9786692248300795,1.0520821163090015
YM-30M-LFHL-d5d55f,YM,30m,LF_HL,,intraday,1.0,55.0,56.0,-23.0,-1.0,16.0,0.0,0.4,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,13.19,153069.37790000002,155784.9061,2715.5279999999993,0.0,637.7890745833334,17756.16470000001,45.416666666666664,44.583333333333336,0.0,59.166666666666664,13.0,2,11604.107571186178,8.620632917422755,26,0.89,-8154.4606,-7860.278399999999,294.1822,0.0,-313.6331,12334.408999999998,30.76923076923077,61.53846153846154,0.0,61.53846153846154,9.5,1,-9136.247650766873,-0.6611148211478962,-0.7873287622266467
YM-30M-MAC-5cdc3b,YM,30m,MAC,,del motore,,,,,,,,2.2,0.0,,,,,,,,,,,,,,,,,1.0,0.0,16.0,50.0,5.0,2.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,13.14,75217.0615,111766.14029999998,36549.0787,31785.59,178.6628539192399,19224.811499999996,40.85510688836104,0.0,1.2874109263657958,100.0,35.0,4,5724.740927875599,3.912499298107553,33,0.94,-14981.5095,-12755.150000000001,2226.3595,1852.9744,-453.98513636363634,16776.6647,27.27272727272727,0.0,1.0606060606060606,100.0,39.0,1,-15860.858970652174,-0.8929968958609513,-2.770581091874493
YM-30M-PC-fd12e7,YM,30m,PC,,intraday,1.0,3.0,56.0,9.0,-1.0,7.0,0.0,0.8,0.0,,,,,,,,,53.0,2.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,,,,,,,,,,,,,807,13.19,186523.9341,195713.543,9189.607899999999,58.645,231.13250817843868,25871.894800000096,53.90334572490706,18.09169764560099,0.0012391573729863693,100.0,36.0,2,14143.215057094667,7.209519656055471,56,0.95,6202.103899999997,6835.727100000002,633.6232,0.0,110.75185535714282,8611.9671,50.0,21.428571428571427,0.0,100.0,35.0,1,6547.163148771674,0.7201727349840895,0.4629190125683211
YM-30M-RBBM-7d1b56,YM,30m,RBB_M,,intraday,1.0,6.0,24.0,52.0,7.0,2.0,0.0,0.6,0.0,,,,,,,,,53.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363,13.16,325068.5311,340490.4682,15421.936099999999,0.0,238.49488708730743,35903.76620000001,50.256786500366836,24.7982391782832,0.0,46.735143066764486,30.0,3,24709.94401337669,9.053883909816678,93,0.91,5876.4458,6928.713000000002,1052.2670999999998,0.0,63.187589247311834,17270.481200000002,43.01075268817204,29.03225806451613,0.0,47.31182795698925,30.0,1,6484.507034592145,0.34025952907438384,0.2624249990644158
